jambu_id	headword	imperative	aa_accent	turner	etymology	inflection
f_xz7qv5qepoavu	áača	áač	early	227	átyēti 'comes upon, goes; enters' (T: 227)	Inflection: T (Prs): ačáanu, (Pfv): ačíitu, (Cv): ačí, (Imp): áač; Morphemic form: ač-, ač-íit-
f_fupzx2r553ftq	báaḍa	báaḍ	early	11376	várdatē 'grows, increases' (T: 11376)	Inflection: L:cons (Prs): baḍáanu, (Pfv): baḍílu, (Cv): baḍí, (Imp): báaḍ; Morphemic form: báḍ-
f_uw4hh42d7bch2	biṣáama	biṣáam	early	11949	viśramatē 'rests' (T: 11949)	Inflection: L:cons (Prs): biṣamáanu, (Pfv): biṣamílu, (Cv): biṣamí, (Imp): biṣáam; Morphemic form: biṣám-
f_nlmfq5g5m4fvc	buláaḍa	buláaḍ	early			Inflection: L:cons (Prs): bulaḍáanu, (Pfv): bulaḍílu, (Cv): bulaḍí, (Imp): buláaḍ; Morphemic form: buláḍ-
f_cczjw6gwwvfk4	čáara	čáar	early			Inflection: L:cons (Prs): čaráanu, (Pfv): čarílu, (Cv): čarí, (Imp): čáar; Morphemic form: čar-
f_jhew5hypxtmky	čháaḍa	čháaḍ	early			Inflection: L:cons (Prs): čhaḍáanu, (Pfv): čhaḍílu, (Cv): čhaḍí, (Imp): čháaḍ; Morphemic form: čhaḍ-
f_rrbogdeu657jg	daáǰa	dáaǰ	early	6248	dahyátē 'is burnt' (T: 6248)	Inflection: T/L:cons (Prs): daǰáanu, (Pfv Masc Sg): daádu, daǰílu, (Pfv Fem Sg): deédi, daǰíli, (Cv): daǰí, (Imp): dáaǰ; Morphemic form: daǰ-, daád-
f_mnxxgtreivpv6	dháama	dháam	early	6890	*dhrāta- 'satisfied' (T: 6890)	Inflection: T (Prs): dhamáanu, (Pfv): dháatu, (Cv): dhamí, (Imp): dháam; Morphemic form: dham-, dháat-
f_zi4cymqerjqac	dháara	dháar	early			Inflection: T (Prs): dharáanu, (Pfv): dharíitu, (Cv): dharí, (Imp): dháar; Morphemic form: dhar-, dhar-íit-
f_t2e7y5kyrseiu	dhraáǰa	dhráaǰ	early	14633	†*drāhyatē 'is stretched out' (T: 14633)	Inflection: L:cons (Prs): dhraǰáanu, (Pfv): dhraǰílu, (Cv): dhraǰí, (Imp): dhráaǰ; Morphemic form: dhraǰ-
f_bezwijgwf7lm2	ḍháaka	ḍháak	early			Inflection: L:cons (Prs): ḍhakáanu, (Pfv): ḍhakílu, (Cv): ḍhakí, (Imp): ḍháak; Morphemic form: ḍhak-
f_2yhx6rvj4cszs	háansa	háans	early	14021	hásati 'laughs' (T: 14021)	Inflection: L:cons (Prs): hansáanu, (Pfv): hansílu, (Cv): hansí, (Imp): háans; Morphemic form: hans-
f_obyck2ceczkbs	háara	háar	early	13980	hárati 'carries, brings; takes away' (T: 13980) ; hr̥tá- 'seized, taken away' (T: 14149)	Inflection: T (Prs): haráanu, (Pfv): híṛu, (Cv): harí, (Imp): háar; Morphemic form: har-, hiṛ-
f_neeck25wq7t4o	ǰhaalíi	ǰháal	early			Inflection: L:e (Prs): ǰhaaláanu, (Pfv): ǰheelílu, (Cv): ǰheelí, (Imp): ǰháal; Morphemic form: ǰhaal-é-
f_hbmjjzqlw2ss6	káamba	káamb	early	2767	kámpatē- 'trembles, shivers' (T: 2767)	Inflection: L:cons (Prs): kambáanu, (Pfv): kambílu, (Cv): kambí, (Imp): káamb; Morphemic form: kámb-
f_iuzxqcws5ftc2	láanga	láang	early	10905	lan̆gháyati 'leaps over; transgresses; ascends' (T: 10905)	Inflection: L:cons (Prs): langáanu, (Pfv): langílu, (Cv): langí, (Imp): láang; Morphemic form: lang-
f_tocsq5pu2wfi2	laṭáanga	laṭáang	early			Inflection: L:cons (Prs): laṭangáanu, (Pfv): laṭangílu, (Cv): laṭangí, (Imp): laṭáang; Morphemic form: laṭáng-
f_aq7jzsxqln3vc	lháasa	lháas	early			Inflection: T (Prs): lhaasáanu, (Pfv Masc Sg): lháastu, (Pfv Fem Sg): lhéesti, (Cv): lhasí, (Imp): lháas; Morphemic form: lhas-, lháast-
f_552g77o73seae	lháaya	lháay	early	10948	lábhatē 'catches, takes' (T: 10948) ; labdha- 'taken, seized' (T: 10946)	Inflection: T (Prs): lhayáanu, (Pfv Masc Sg): láadu, lháadu, (Pfv Fem Sg): léedi, lhéedi, (Cv): lhayí, (Imp): lháay; Morphemic form: lhái-, láad-
