source_key	jambu_id	id_basis	headword	gloss	tags	accent_type	turner	first_proto_form	proto_accent_nucleus	proto_nuclei	etymology	inflection
liljegren-LX000001	f_3p7bnlwmuvo6i	source-key alias	-á	Plural suffix (with a-declension nouns)	suffix	short-or-diphthong				0		
liljegren-LX000002	f_3p7bnlwmuvo6i	unique cited original and full etymology	-á	Causative (valence-increasing) suffix	suffix	short-or-diphthong				0		
liljegren-LX000003	f_3p7bnlwmuvo6i	unique cited original and full etymology	-á	Oblique case suffix (with a-declension nouns)	suffix	short-or-diphthong				0		
liljegren--a_1	f_hp57c66obnnkg	source-key alias	-a	Third person singular suffix	suffix	implicit-short				0		Morphemic form: -e; Restriction: Added to verb stem in Future and Past Imperfective
liljegren--a_2	f_hp57c66obnnkg	unique cited original and full etymology	-a	Plural suffix (with a-declension nouns)	suffix	implicit-short				0		
liljegren--a_3	f_hp57c66obnnkg	unique cited original and full etymology	-a	Oblique case suffix (with a-declension nouns)	suffix	implicit-short				0		
liljegren--a_4	f_hp57c66obnnkg	unique cited original and full etymology	-a	Masculine plural agreement suffix	suffix	implicit-short				0		Restriction: Added to the tense- or aspect-marked verb
liljegren--a_5	f_hp57c66obnnkg	unique cited original and full etymology	-a	Masculine non-nominative and non-singular agreement suffix	suffix	implicit-short				0		Restriction: Added to inflecting adjective stems
liljegren-LX000004	f_4lyakd27blb5w	source-key alias	-áa	Infinitive suffix added to the verb root	suffix	first-mora				0		Restriction: Usually suffixed to a complement-clause verb with a modality verb following it
liljegren-LX000005	f_va6m7whygunri	source-key alias	-aá	Converb suffix (with a-ending verb stems)	suffix	second-mora				0		Morphemic form: á-í
liljegren-LX000006	f_kk2b3ltdy3vs4	source-key alias	aabaád	dwelling	noun f Palula-noun-class-i loanword loan:Persian loan:Urdu	second-mora		Origin:		2	Origin: Urdu (Persian): aabaad	Inflection: i-decl (Obl, pl): -í
liljegren-LX000007	f_tf4gcz74z5t2g	source-key alias	áabru	cloud	noun m Palula-noun-class-a	first-mora	549	abhrá-	2	2	abhrá- 'cloud, rainy weather (n, rarely m)' (T: 549)	Inflection: a-decl (Obl, pl): áabra
