ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status
30	Indo-Aryan	*akṣadāruka	a partic. tree			*akṣadāruka				CDIAL	"<number>30</number> <b>*akṣadāruka</b> 'a partic. tree'. [<smallcaps><a data-entry=""22"">akṣá-²</a>, <a data-entry=""6298"">dā́ru</a></smallcaps>-²]"		entry
43	Indo-Aryan	ákṣi	eye			ákṣi			n RV Early-Vedic	CDIAL;CDIAL	<number>43</number> <b>ákṣi</b> n. 'eye' RV.<!--addendum--><number>14195</number> <b>ákṣi-</b>		
47	Indo-Aryan	*akṣēma	unpeaceful			*akṣēma				CDIAL	"<number>47</number> <b>*akṣēma</b> 'unpeaceful'. [<smallcaps><a data-entry=""3745"">kṣḗma</a></smallcaps>-]"		entry
48	Indo-Aryan	akṣōṭa	walnut (or pistacio nut ?); Aleurites triloba, Croton moluccanum; a mountain-tree <smallcaps>pīlú</smallcaps>-¹			akṣōṭa			m Kālid Suśr lex Classical	CDIAL;Morgenstierne;IIFL[i 412];CDIAL;BSOAS[20, 58];NIA;Varma BhalDial[23]	"<number>48</number> <b>akṣōṭa</b> m. 'walnut (or pistacio nut ?)' Kālid., 'Aleurites triloba, Croton moluccanum' Suśr., 'a mountain-tree <smallcaps><a data-entry=""8239"">pīlú</a></smallcaps>-¹', lex.; <i>akṣōḍa</i>-, <i>°aka</i>-, <i>ākṣōḍa</i>-, <i>ākhōṭa</i>- lex. — lw. in Ir. Ormuri <i>waṭk</i> &lt; <i>*akhōṭa</i>- Morgenstierne IIFL i 412.<!--addendum--><number>14197</number> <b>akṣōṭa</b> [Poss. ext. of <i>akṣa</i>- (<smallcaps><a data-entry=""22"">akṣa</a></smallcaps>-² 'seed of Elaeocarpus ganitrus') with suffix -<i>ṭa</i>- (as in <i>śarkōṭá</i>- 'scorpion' AV. Wackernagel-Debrunner Suffixes 514) beside Ir. <i>*axša-ra</i>- in Oss. <i>äxsärä</i> H. W. Bailey BSOAS 20, 58. NIA. forms with -<i>r</i>- may then be &lt; <i>*akṣarōṭṭa</i>- (cf. dimin. suffix -<i>uṭṭa</i>- in WPah. (e.g. Varma BhalDial 23). M. <i>akroḍ</i> (~ <i>akroṭ</i>) is X <i>akhoḍ</i> rather than &lt; <i>*akṣarōṭṭa</i>-]"		entry
65	Indo-Aryan	agniṣṭʰá	fire-pan			agniṣṭhá			m ĀpŚr Early-Vedic	CDIAL	"<number>65</number> <b>agniṣṭhá</b> m. 'fire-pan' ĀpŚr., <i>°ṭhā́</i>- f. 'that corner of the Yūpa towards the fire' ŚBr., <i>°ṭhikā</i>- f. 'fire-pan'. [<smallcaps><a data-entry=""55"">agní-¹</a>, stha</smallcaps>-]"		entry
100	Indo-Aryan	aŋká	hook; hip where children are carried; curved line, mark, sign			aṅká			m RV Br̥ĀrUp R Early-Vedic Epic	CDIAL	"<number>100</number> <b>aṅká</b> m. 'hook' RV., 'hip where children are carried' Br̥ĀrUp., 'curved line, mark, sign' R. [√<smallcaps><a data-entry=""r13"">añc</a></smallcaps>]"		entry
125	Indo-Aryan	áŋgāra	glowing charcoal			áṅgāra			m RV Early-Vedic	CDIAL;CDIAL	<number>125</number> <b>áṅgāra</b> m. n. 'glowing charcoal' RV., <i>°aka</i>- lex. 2. <b>*iṅgāra-,</b> <i>iṅgāla</i>- m. Vāsav. com.<!--addendum--><number>14200</number> <b>áṅgāra-</b>		
126	Indo-Aryan	aŋgāraka	*red like embers; charcoal; name of various plants; the planet Mars			aṅgāraka			m	CDIAL	"<number>126</number> <b>aṅgāraka</b> '*red like embers', m. 'charcoal; name of various plants' (<i>aṅgārikā</i>- f. 'stalk of sugar-cane, flower of Butea frondosa'). 2. m. 'the planet Mars'. [<smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"		entry
131	Indo-Aryan	aŋgāryā́	heap of embers			aṅgāryā́				CDIAL	"<number>131</number> <b>aṅgāryā́-,</b> <i>*aṅgāriyā</i>-, f. 'heap of embers'. [Cf. <i>aṅgā- rīya</i>- 'fit for making charcoal', <i>aṅgārikā</i>- f., <i>angāritā</i>- f. 'portable fireplace' lex.: <smallcaps><a data-entry=""125"">áṅgāra</a></smallcaps>-]"		
135	Indo-Aryan	aŋgúli	finger, toe			aṅgúli			f VS Early-Vedic	CDIAL;CDIAL	<number>135</number> <b>aṅgúli</b> f. 'finger, toe' VS., ŚBr., <i>aṅgúri</i>- f. AV., <i>svaṅgurí</i>- RV. 2. <b>*aṅgūḍi-</b> [2 &lt; <i>*aṅguẓ-ḍi</i>- with <i>*aṅguṣ</i>- in <i>aṅguṣ-ṭhá</i>-, cf. H. Frisk Suffixales -i&gt;th- im Indogermanischen 17.]<!--addendum--><number>14201</number> <b>aṅgúli-</b>		
135-2x	Indo-Aryan	*aŋgūḍi				*aṅgūḍi				CDIAL			entry
