id	language_id	form	gloss	native	phonemic	original	cognateset	description	tags	source	etymology	redirect	status	language_name	dialect_tags	source_keys	ancestor_id	family_id	ancestor_form	ancestor_original	ancestor_form_field	ancestor_gloss	ancestor_language	family_form	ancestry_path	link_status
f_7g7iscoydxvvm	Phal	aʦ̣ʰā́ru	pine			ac̣hā́ru	2:			CDIAL				Palula		CDIAL	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_7g7iscoydxvvm"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_fdbgpgbzsq5to	Phal	āʦ̣ʰā̂ru	a pine tree	آڇھاروۡ	aaʈʂʰáaru	aac̣háaru		Inflection: a-decl (Obl, pl): aac̣háara	noun m Palula-noun-class-a	liljegren	*akṣadāruka- 'a partic. tree' (T: 30)			Palula		liljegren	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_fdbgpgbzsq5to"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_qizuypbmdrndi	Phal	āʦ̣hā́ru	fir		ɑʈ͡ʂhɑ́ɾu	âc̣hʹâru			noun dialect:Palula	strand				Palula	dialect:Palula	strand	30	30	*akṣadāruka	*akṣadāruka	Original	a partic. tree	Indo-Aryan	*akṣadāruka	"[{""Child_ID"": ""f_qizuypbmdrndi"", ""Parent_ID"": ""30"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_zt6ecb52vfvuq	Phal	aʦ̣ʰi	eye			ac̣hi	2:		pl	CDIAL				Palula		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_zt6ecb52vfvuq"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_jyo4vdljvgbiy	Phal	īa	eye			īa	2:			CDIAL				Palula		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_jyo4vdljvgbiy"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_jk3gjx7x4u26e	Sh	aʦ̣ʰī́	eye			ac̣hī́	2:		f	CDIAL				Shina		CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_jk3gjx7x4u26e"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_fsewlvkkrexag	Sh	aṣī́	eye			aṣī́	2:		dialect:Sh:pales:Palesi	CDIAL				Shina	dialect:Sh:pales:Palesi	CDIAL	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_fsewlvkkrexag"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_bku6mqciy2vxs	Kalk	iʦ̣ī	eye			ic̣ii		cited for its final open syllable, matching stressed-final Palula ac̣híi	noun f dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	kalkoti[p. 137, table 9];kalkoti[p. 137]				Kalkoti	dialect:Kalk:HKAT-xka:Kalkot%20%28HKAT%29	kalkoti	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_bku6mqciy2vxs"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_o5gfqjp4n5r2a	Kund	aś	eye			aś				kund				Kundal Shahi		kund	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_o5gfqjp4n5r2a"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_hkqbpcmffxfsu	Phal	aʦ̣ʰī̂	eye	اڇھی	aʈʂíi	ac̣híi		Inflection: a-decl (Obl, pl): -a; Morphemic form: ac̣hí	noun f Palula-noun-class-a	liljegren	ákṣi- 'eye (neut)' (T: 43)			Palula		liljegren	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_hkqbpcmffxfsu"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_o7lfd4wnm2gi6	Phal	aʦ̣hī́	eye		əʈ͡ʂhí̬	ac̣hʹî			noun dialect:Palula	strand				Palula	dialect:Palula	strand	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_o7lfd4wnm2gi6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_ciicxpap6v5ts	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Gupis:Gupis	backstrom1992				Shina	dialect:Sh:Gupis:Gupis	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_ciicxpap6v5ts"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_b6rkaz65fzwck	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:punl:Puniali	backstrom1992				Shina	dialect:Sh:punl:Puniali	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_b6rkaz65fzwck"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_m7vrdllm2atac	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:HunzaNasirabad:Hunza	backstrom1992				Shina	dialect:Sh:HunzaNasirabad:Hunza	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_m7vrdllm2atac"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_fb7k3zwxv2w5a	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:NagarThol:Nagar%20%28Thol%29	backstrom1992				Shina	dialect:Sh:NagarThol:Nagar%20%28Thol%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_fb7k3zwxv2w5a"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_m4dd5wrt35pi6	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:NagarChalt:Nagar%20%28Chalt%29	backstrom1992				Shina	dialect:Sh:NagarChalt:Nagar%20%28Chalt%29	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_m4dd5wrt35pi6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_aabpouqz5sami	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi̠	ɑˈč̣ʰi̱			dialect:Sh:gil:Gilgit	backstrom1992				Shina	dialect:Sh:gil:Gilgit	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_aabpouqz5sami"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_r76725s7k64a6	Sh	āṣī	eye		ɑˈʂi	ɑˈṣ̌i			dialect:Sh:gil:Gilgit	backstrom1992				Shina	dialect:Sh:gil:Gilgit	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_r76725s7k64a6"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_rtllb24ycuvnc	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Haramosh:Haramosh	backstrom1992				Shina	dialect:Sh:Haramosh:Haramosh	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_rtllb24ycuvnc"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
f_uxcdzghafcjhc	Sh	āʦ̣ʰī	eye		ɑˈʈʂʰi	ɑˈč̣ʰi			dialect:Sh:Bagrot:Bagrot	backstrom1992				Shina	dialect:Sh:Bagrot:Bagrot	backstrom1992	43	43	ákṣi	ákṣi	Original	eye	Indo-Aryan	ákṣi	"[{""Child_ID"": ""f_uxcdzghafcjhc"", ""Parent_ID"": ""43"", ""Kind"": ""reflex"", ""Rank"": ""1"", ""Pos"": """", ""Source"": """", ""Note"": """"}]"	linked
