gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
air	ó:ʃe	-e	2	stress-marked	[]	[]	[]	f_rnp6mmnvwlbie	[]	m.pl
bank of the river	ʧhúpe	-e	2	stress-marked	[]	[]	[]	f_s4fnv2fox34py	[]	m.pl
cave	bóyé	-e		multiple-stress	"[""bó""]"	[1]	"[""f_c2xftdu3evho2""]"	f_t6muzwjvnwlqy	[]	m.pl
cloud	áʐe	-e	2	stress-marked	[]	[]	[]	f_373cdo5ejqomk	[]	m.pl
dew	phúruʦe	-e	3	stress-marked	"[""phúrus""]"	[2]	"[""f_dywhshxyrqdrm""]"	f_gfzm5kjn6hueu	[]	m.pl
dust	udú:e	-e	2	stress-marked	"[""udú:""]"	[1]	"[""f_5mzh7hen3spkc""]"	f_zqyigo3xmsxjs	"[""2025""]"	m.pl
flood	mu:ze	-e		unmarked	"[""buʧeʋázẽĩ"", ""mu:s""]"	"[3, """"]"	"[""f_2gc5s7cjws4d2"", ""f_jt5pacvrp2ooi""]"	f_y5to7jfbbh6vo	[]	f.pl
hail	ɖóɾe	-e	2	stress-marked	"[""ɖóɾo""]"	[2]	"[""f_xyvag2lyx27cq""]"	f_kltorbwjt26ec	[]	m.pl
hillock	ʈhuké	-e	1	stress-marked	"[""ʈhúko""]"	[2]	"[""f_snkuuxxqocuc2""]"	f_iitragnlv4xrm	[]	m.pl
ice	so:re	-e		unmarked	"[""so:r""]"	"[""""]"	"[""f_ems5ebwpqwjew""]"	f_rs5gjv3rx5aty	"[""13355""]"	m.pl
isthmus	tóre	-e	2	stress-marked	"[""tóri"", ""torí:""]"	[2, 1]	"[""f_jertms3a37xps"", ""f_bzriuzo3mlcf6""]"	f_wzmhw5zfu25yc	[]	f.pl
lake	bíre	-e	2	stress-marked	"[""bír""]"	[1]	"[""f_t6hv6u6jejtuc""]"	f_7zi63ntnxfj64	[]	f.pl
lightening	bíʧuʐe	-e	3	stress-marked	"[""bíʧuʂ""]"	[2]	"[""f_zxemwd6jb57so""]"	f_twunzewjszo5y	[]	f.pl
limestone	móte	-e	2	stress-marked	"[""móti""]"	[2]	"[""f_ebfeyixcyj7hi""]"	f_mjd2nu2slxsek	[]	f.pl
mountain	ʃʌyé	-e	1	stress-marked	"[""ʃeí""]"	[1]	"[""f_xohr2iu3bzvd6""]"	f_skhi4vkaqlwjw	[]	f.pl
moss	khʌɽʌ́ke	-e	2	stress-marked	"[""khʌɽʌ́k""]"	[1]	"[""f_u4uafmbkftady""]"	f_a4oswjamlhibg	[]	m.pl
peak	ʧhí:ʐe	-e	2	stress-marked	"[""ʧhí:ʂ""]"	[1]	"[""f_btclih5cvrekm""]"	f_onwxas54bhlqm	[]	f.pl
pebble	kha:ye	-e		unmarked	"[""kha:y""]"	"[""""]"	"[""f_ep6jbmfvenwnk""]"	f_xz7ap2v6xfgta	[]	f.pl
ray	gále	-e	2	stress-marked	"[""gálo""]"	[2]	"[""f_ot23sco5p3vuc""]"	f_onuqeu35mbxxi	[]	m.pl
river	sine	-e		unmarked	[]	[]	[]	f_3sw4z5xlufzva	[]	f.pl
road	pone	-e		unmarked	[]	[]	[]	f_rbq72w4pjuxf6	[]	f.pl
rock	gí:re	-e	2	stress-marked	"[""gí:ro""]"	[2]	"[""f_eswuns6t53wkq""]"	f_rnzrq6o2dxnle	[]	m.pl
satellite; star	táre	-e	2	stress-marked	[]	[]	[]	f_3wk6hbnlovwik	[]	m.pl
stone	bʌʈi	-i		unmarked	[]	[]	[]	f_6rgfqh2w7eylq	[]	m.pl
blind	ʂé:ʋe	-e	2	stress-marked	"[""ʂé:ʋ""]"	[1]	"[""f_wymng5psl77f2""]"	f_r3ixsmxhzsp2o	[]	
blind	ʂé:	other	1	stress-marked	"[""ʂé:ʋ""]"	[1]	"[""f_wymng5psl77f2""]"	f_gjnpvmnupfzvw	[]	
