Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_222w57e6ckgcg	3001	reflex	1			
f_22e47a35ulrxu	2830	reflex	1			
f_22gfd6jib427w	3451	reflex	1			
f_22ixruunvmnky	5228	reflex	1			
f_22rm67maifzs2	10049	reflex	1			
f_22st4xwkr3iei	5589	reflex	1			
f_22th4vnpjhos2	10302	reflex	1			
f_22tpntlagki5k	14029	reflex	1			
f_22yns3enzx7km	283	reflex	1			
f_22yqx3ve7gqb2	10551	reflex	1			
f_232swsmziurys	9229	reflex	1			
f_234huip6ohrgy	13415	reflex	1			
f_2357lw35sowk2	9250	reflex	1			
f_23djodcdft532	12513-7	reflex	1			
f_23fw64siz5sq6	10066	reflex	1			
f_23ivkiotrmav4	2020-2	reflex	1			
f_23jw3l7rysg3y	2860	reflex	1			
f_23l5ob7ukkj3y	8894	reflex	1			
f_23tejq4gyn43e	7067	reflex	1			
f_23u3cwtuw33dy	4855	reflex	1			
f_23ubcozln6vgm	13468	reflex	1			
f_23w6tz36heuia	2574	reflex	1			
f_243pq7gtcfjp4	12009	reflex	1			
f_244rwiulthki4	4701	reflex	1			
f_244uxu35mq72q	283	reflex	1			
f_24gefkd42wilm	13481	reflex	1			
f_24gzn522ytkii	11168	reflex	1			
f_24nvke7xoezba	7778	reflex	1			
f_24oq5nbui4atw	2712	reflex	1			
f_24qpmpid2fgmi	10244	reflex	1			
f_24slbgt5gsctq	3153	reflex	1			
f_24tr5efrzbkgm	7848	reflex	1			
f_24zypxxfyrhly	10308	reflex	1			
f_255jbhu5mddng	4336	reflex	1			
f_255kcbcrdnq3c	884	reflex	1			
f_256b5doeotkwc	11302	reflex	1			
f_256p6mym6x3su	10702	reflex	1			
f_25a5vpdc57mbc	10702	reflex	1			
f_25d7iskw7rrny	12010	reflex	1			
f_25f67sgq5fp5i	10258	reflex	1			
f_25kuw4f7igzfu	2860	reflex	1			
f_25mlscjuadlve	10001	reflex	1			
f_25oueaehjf3go	9661	reflex	1			
f_25q4dp4b7oogg	12759	reflex	1			
f_25vbet3ejpm5k	4270	reflex	1			
