turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry
43	ákṣi	1	2	eye	ac̣híi [eye]	ac̣híi	ac̣híi	ac̣híi	ac̣híi			gil:45; koh:46; gur:47; Astor:48	43 ákṣi n. 'eye' RV.
125	áṅgāra	1	3	fire	angóor [fire]	agáar; hagáar		aṅgáaru				gil:294; gil:295; gur:296	125 áṅgāra m. n. 'glowing charcoal' RV., °aka- lex. 2. *iṅgāra-, iṅgāla- m. Vāsav. com.
135	aṅgúli	2	3	finger	angúṛu [thumb; big toe]	haguí	hagwí	a~wíi~	aṅwíi~			gil:54; koh:55; gur:56; Astor:57	135 aṅgúli f. 'finger, toe' VS., ŚBr., aṅgúri- f. AV., svaṅgurí- RV. 2. *aṅgūḍi- [2 &lt; *aṅguẓ-ḍi- with *aṅguṣ- in aṅguṣ-ṭhá-, cf. H. Frisk Suffixales -i&gt;th- im Indogermanischen 17.]
137	aṅguṣṭhá-,	3	3	thumb		agúto	hagúu	oṅúu~tu	aṅúu~to			gil:135; koh:136; gur:137; Astor:138	137 aṅguṣṭhá-, °gú° m. 'thumb' ĀśvGr̥., 'big toe' KātyŚr. [aṅgu-ṣ-ṭhá-, cf. *aṅgu-ẓ-ḍi- and aṅgú-li-]
145	ajá	2	2	goat (f.)		ái	ái	ái	ái			gil:713; koh:714; gur:715; Astor:716	145 ajá m. 'goat', ajā́- f. RV., ajakā-, -ikā- f. 'small or young goat' Pāṇ.
242	adyá,	2	2	today	aáǰ [today]	aš	aš	aš	aš			gil:560; koh:561; gur:562; Astor:563	242 adyá, -ā́ 'today' RV. [a-¹]
549	abhrá	2	2	cloud; rain	áabru [cloud]	áj̣o	áẓo	áj̣u	áẓo			gil:393; gil:408; koh:394; koh:409; gur:395; gur:410; Astor:396; Astor:411	549 abhrá¹ n. (rarely m.) 'cloud, rainy weather' RV. 2. abhríya- 'belonging to the clouds', m.n. 'thundercloud' RV.
722	álpa	1	2	few			ápa	ápo	ápo			koh:1020; gur:1021; Astor:1022	722 álpa 'small' AV., alpakám 'a little' ŚBr.
941	aṣṭā́,	2	2	eight	áaṣṭ [eight]	a~ṣ	a~ṣ	a~ṣṭ	a~ṣ			gil:1007; koh:1008; gur:1009; Astor:1010	941 aṣṭā́, °ṭáu 'eight' RV.
1111	āṇḍá	2	2	egg	haṇoó [egg]	haṇeé	haṇó	haṇoó~				gil:688; koh:689; gur:690	1111 āṇḍá n. 'egg' RV., du. 'testicles' AV., aṇḍá- Ep., °aka- 'egg, scrotum' lex. [Kaf. Paš. Kal. forms point to *āṇḍra-: ac. to Mayrhofer EWA i 26, with Kuiper PMWS 76, of Muṇḍa origin]
1288	ā́yāti	1	3	to come				oónu				gur:873	1288 ā́yāti 'comes near' RV. 2. āyāta- MBh. [√yā]
1869	útsa	1	2	spring (of water)	uts [spring (of water)]	uts	utsh	uts	uts			gil:630; koh:631; gur:632; Astor:633	1869 útsa m. 'spring of water' RV. 2. utsíya- (utsyà-) 'coming from a spring (of water)' AV. [√ud²].
1921	udaká	3	3	water	wíi [water]	wey	wói; wíi	vói	wói			gil:429; koh:430; koh:431; gur:432; Astor:433	1921 udaká n. 'water'. RV. 2. daka- n. Suśr., BHSk. [udán-: √ud²]
1929	udanyú	3	3	hungry		uyáno						gil:1068	1929 udanyú 'seeking water' RV. [udán-: √ud²]
2349	úraṇa	1	3	lamb		urán		urán	urán			gil:1384; gur:1385; Astor:1386	2349 úraṇa m. 'ram, sheep, young ram' ŚBr. [úrā-]
2485	ḗkādaśa	1	4	eleven	akóoš [eleven]		akáai	akáai	akáai			koh:1016; gur:1017; Astor:1018	2485 ḗkādaśa¹ 'eleven' VS. [ḗka-, dáśa]
2563	ṓṣṭha	1	2	lip		óo~ṭo		óo~ṭi	óo~ṭ			gil:98; gur:99; Astor:100	2563 ṓṣṭha m. 'lip' RV.
2574	ká	1	1	who? (m.); who? (f.); who? (pl.)		keé; keéi	koé		koí			koh:1296; Astor:1298; gil:1299; gil:1301	2574 ká², nom. sg. m. káḥ, f. kā́, n. kím q.v., gen. sg. m.n. kásya, inst. kḗna. In nom. m.f. largely replaced by kaḥ punar and kō'paraḥ.
2588	kákṣa	1	2	armpit				kácɨ̥		khiṅ	caṅ'khoṅ	gur:6; dr:7; bro:8	2588 kákṣa¹ m. 'armpit' RV., 'groin (?)' AV., kakṣā- f. 'armpit' Suśr. which despite EWA i 561 (correcting i 136) is to be distinguished from kakṣyāˋ- 'girdle'.
2589	kákṣa	1	2	grass/fodder	káac̣ [straw; hay]	kac̣	kac̣	kac̣				gil:810; koh:811; gur:812	2589 kákṣa² m. 'undergrowth' RV. (?), VS. 'dead wood' VS., 'grass' lex.
2830	kárṇa	1	2	ear	káaṇ [ear]	koṇ	koṇ	koṇ	koṇ			gil:35; koh:36; gur:37; Astor:38	2830 kárṇa m. 'ear, handle of a vessel' RV., 'end, tip (?)' RV. ii 34, 3. [Cf. *kāra- ⁶]
2892	kárman	1	2	work	kráam [work; deed, behaviour]	kom	kom	krom	krom			gil:386; koh:387; gur:388; Astor:389	2892 kárman¹ n. 'act, work' RV. [√kr̥¹]
2993	kā́ka	1	2	crow	kóok [crow]			káa	káa			gur:677; Astor:678	2993 kā́ka m. 'crow' Mn., °kī- f. Pāṇ. [kākōla- m. 'raven' Mn., kākāla- m. Vet. Onom. cf. kākākr̥t- 'cawing' MBh. — In NIA. with various suffixes and partially onom. with -k- and -g-]
3023	kā́ṇḍa	1	2	arrow	kóoṇ [arrow]	kóoṇ	kóoṇ	kóoṇ	kóoṇ			gil:247; koh:248; gur:249; Astor:250	3023 kā́ṇḍa (kāṇḍá- TS.) m.n. 'single joint of a plant' AV., 'arrow' MBh., 'cluster, heap' (in tr̥ṇa-kāṇḍa- Pāṇ. Kāś.). [Poss. connexion with gaṇḍa-² makes prob. non-Aryan origin (not with P. Tedesco Language 22, 190 &lt; kr̥ntáti). Prob. ← Drav., cf. Tam. kaṇ 'joint of bamboo or sugarcane' EWA i 197]
3084	kālá	2	2	year	kaál [year]	kaál; sáal	kaál		sáal			gil:578; gil:581; koh:579; Astor:582	3084 kālá² m. 'time' AV., 'fixed point of time' ŚBr. 'fate, death' MBh.
3120	kāṣṭhá	2	2	wood		káaṭo	káaṭho	káaṭo	káaṭho			gil:381; koh:382; gur:383; Astor:384	3120 kāṣṭhá n. 'piece of wood' ŚBr., °ikā- f. 'small do.' Pañcat.
3241	kuṭṭáyati	2	4	to beat				kuṭyoónu	kuṭoónu			gur:857; Astor:858	3241 kuṭṭáyati 'crushes, grinds' AVPariś., 'pounds' VarBr̥S. 2. *kōṭṭayati. [√kuṭṭ]
3451	kr̥ṣṇá	2	2	black	kriṣíṇu [black]	kíṇo	kíṇo	kíṇu	kíṇo			gil:990; koh:991; gur:992; Astor:993	3451 kr̥ṣṇá 'dark blue, black' RV., kŕ̥ṣṇaka- 'blackish' Pāṇ. 2. Nom. prop. esp. of the incarnation of Viṣṇu.
