turner	proto_headword	proto_accent_nucleus	proto_nuclei	source_glosses	palula	gil	koh	gur	Astor	dr	bro	source_rows	proto_entry
43	ákṣi	1	2	eye	ac̣híi [eye]	ac̣híi	ac̣híi	ac̣híi	ac̣híi			gil:45; koh:46; gur:47; Astor:48	43 ákṣi n. 'eye' RV.
125	áṅgāra	1	3	fire	angóor [fire]	agáar; hagáar		aṅgáaru				gil:294; gil:295; gur:296	125 áṅgāra m. n. 'glowing charcoal' RV., °aka- lex. 2. *iṅgāra-, iṅgāla- m. Vāsav. com.
126	aṅgāraka		4	Tuesday		aṅgáaro			aṅgáaro			gil:468; Astor:469	126 aṅgāraka '*red like embers', m. 'charcoal; name of various plants' (aṅgārikā- f. 'stalk of sugar-cane, flower of Butea frondosa'). 2. m. 'the planet Mars'. [áṅgāra-]
135	aṅgúli	2	3	finger	angúṛu [thumb; big toe]	haguí	hagwí	a~wíi~	aṅwíi~			gil:54; koh:55; gur:56; Astor:57	135 aṅgúli f. 'finger, toe' VS., ŚBr., aṅgúri- f. AV., svaṅgurí- RV. 2. *aṅgūḍi- [2 &lt; *aṅguẓ-ḍi- with *aṅguṣ- in aṅguṣ-ṭhá-, cf. H. Frisk Suffixales -i&gt;th- im Indogermanischen 17.]
137	aṅguṣṭhá-,	3	3	thumb		agúto	hagúu	oṅúu~tu	aṅúu~to			gil:135; koh:136; gur:137; Astor:138	137 aṅguṣṭhá-, °gú° m. 'thumb' ĀśvGr̥., 'big toe' KātyŚr. [aṅgu-ṣ-ṭhá-, cf. *aṅgu-ẓ-ḍi- and aṅgú-li-]
145	ajá	2	2	goat (f.)		ái	ái	ái	ái			gil:713; koh:714; gur:715; Astor:716	145 ajá m. 'goat', ajā́- f. RV., ajakā-, -ikā- f. 'small or young goat' Pāṇ.
242	adyá,	2	2	today	aáǰ [today]	aš	aš	aš	aš			gil:560; koh:561; gur:562; Astor:563	242 adyá, -ā́ 'today' RV. [a-¹]
274	adhyadhi		3	up(hill)		ají	ají	ajá				gil:564; koh:566; gur:567	274 adhyadhi 'on high' KātyŚr. [ádhi]
283	ana		2	this (m.); this (f.)	anú [it; he; this one (prox masc nom)]	anú; anús; ané; anés	aáe	anú; nu; aní	anúh; aníh			gil:1265; gil:1266; gil:1272; gil:1273; koh:1267; koh:1274; gur:1269; gur:1270; gur:1276; Astor:1271; Astor:1277	283 ana pron. stem in anḗna, anáyā, anáyoḥ 'this', anā́ 'thus' RV.
549	abhrá	2	2	cloud; rain	áabru [cloud]	áj̣o	áẓo	áj̣u	áẓo			gil:393; gil:408; koh:394; koh:409; gur:395; gur:410; Astor:396; Astor:411	549 abhrá¹ n. (rarely m.) 'cloud, rainy weather' RV. 2. abhríya- 'belonging to the clouds', m.n. 'thundercloud' RV.
722	álpa	1	2	few			ápa	ápo	ápo			koh:1020; gur:1021; Astor:1022	722 álpa 'small' AV., alpakám 'a little' ŚBr.
941	aṣṭā́,	2	2	eight	áaṣṭ [eight]	a~ṣ	a~ṣ	a~ṣṭ	a~ṣ			gil:1007; koh:1008; gur:1009; Astor:1010	941 aṣṭā́, °ṭáu 'eight' RV.
958	aṣṭhi		2	bone		á~ṭi	á~ṭhi	á~ṭi	á~ṭi			gil:21; koh:22; gur:23; Astor:24	958 aṣṭhi '*bone', f. 'kernel' lex., aṣṭhī- f. 'bone of elbow or knee' lex. [Cf. aṣṭhīvántau m. 'the knees' RV., pādāṣṭhīla- m.n. 'ankle' MBh., ūrv-aṣṭhīvá- n. 'thigh and knee' VS. The relationship of these words with ásthi- 'bone' RV. is obscure: Mayrhofer EWA i 67. Connexion with haḍḍa- is improbable]
1009	*ākāśiya-,		4	sky		agaáy; hagáay		aṅgaái				gil:412; gil:413; gur:414	1009 *ākāśiya-, ākāśyà- 'of the sky' Pāṇ. Kāś., ākāśīya- Suśr. [ākāśá-]
1111	āṇḍá	2	2	egg	haṇoó [egg]	haṇeé	haṇó	haṇoó~				gil:688; koh:689; gur:690	1111 āṇḍá n. 'egg' RV., du. 'testicles' AV., aṇḍá- Ep., °aka- 'egg, scrotum' lex. [Kaf. Paš. Kal. forms point to *āṇḍra-: ac. to Mayrhofer EWA i 26, with Kuiper PMWS 76, of Muṇḍa origin]
1288	ā́yāti	1	3	to come				oónu				gur:873	1288 ā́yāti 'comes near' RV. 2. āyāta- MBh. [√yā]
1351	āryikā-,		3	mother	yéei [mother]	aáji	áji	aáji	aáji			gil:200; koh:201; gur:202; Astor:203	1351 āryikā-, °yakā- f. 'respectable woman' lex. [ā́rya-]
1533	āsyà		2	mouth		áa~y	áa~zi	áa~zu	áa~zo			gil:110; koh:111; gur:112; Astor:113	1533 āsyà n. 'mouth' RV., 'face' Yājñ. 2. āsíya-.
1869	útsa	1	2	spring (of water)	uts [spring (of water)]	uts	utsh	uts	uts			gil:630; koh:631; gur:632; Astor:633	1869 útsa m. 'spring of water' RV. 2. utsíya- (utsyà-) 'coming from a spring (of water)' AV. [√ud²].
1921	udaká	3	3	water	wíi [water]	wey	wói; wíi	vói	wói			gil:429; koh:430; koh:431; gur:432; Astor:433	1921 udaká n. 'water'. RV. 2. daka- n. Suśr., BHSk. [udán-: √ud²]
1929	udanyú	3	3	hungry		uyáno						gil:1068	1929 udanyú 'seeking water' RV. [udán-: √ud²]
2349	úraṇa	1	3	lamb		urán		urán	urán			gil:1384; gur:1385; Astor:1386	2349 úraṇa m. 'ram, sheep, young ram' ŚBr. [úrā-]
2454	*r̥tuvanta-,		4	winter				yoónu				gur:576	2454 *r̥tuvanta-, r̥tvanta- m. 'end of the (rainy?) season' Mn. [Cf. ánta r̥tū́nāṁ hēmantáḥ ŚBr.: r̥tú-, ánta-]
2485	ḗkādaśa	1	4	eleven	akóoš [eleven]		akáai	akáai	akáai			koh:1016; gur:1017; Astor:1018	2485 ḗkādaśa¹ 'eleven' VS. [ḗka-, dáśa]
2512	ēḍa		2	ewe	yíiṛi [sheep, ewe]	ijíili						gil:751	2512 ēḍa m. 'a kind of sheep' KātyŚr., ēḍī- f., ēḍaka-¹ m. 'a sheep or goat', aiḍa- 'ovine' MBh., aiḍaká m. 'a kind of sheep' ŚBr., iḍikka- f. 'wild goat' lex. [← Drav. EWA i 126 with lit.]
2563	ṓṣṭha	1	2	lip		óo~ṭo		óo~ṭi	óo~ṭ			gil:98; gur:99; Astor:100	2563 ṓṣṭha m. 'lip' RV.
2574	ká	1	1	who? (m.); who? (f.); who? (pl.)		keé; keéi	koé		koí			koh:1296; Astor:1298; gil:1299; gil:1301	2574 ká², nom. sg. m. káḥ, f. kā́, n. kím q.v., gen. sg. m.n. kásya, inst. kḗna. In nom. m.f. largely replaced by kaḥ punar and kō'paraḥ.
2588	kákṣa	1	2	armpit				kácɨ̥		khiṅ	caṅ'khoṅ	gur:6; dr:7; bro:8	2588 kákṣa¹ m. 'armpit' RV., 'groin (?)' AV., kakṣā- f. 'armpit' Suśr. which despite EWA i 561 (correcting i 136) is to be distinguished from kakṣyāˋ- 'girdle'.
