concept	Astor	Bagrot	Bunji	ChilasJelil	ChilasKhinar	Darel	DashkinAstor	Dras	Gahorabad	Gilgit	Gultari	Gupis	Haramosh	Harban	HunzaNasirabad	Jalkot	KachuraJel	Kharmang	Kolai	NagarChalt	NagarThol	Palas	Punial	Rondu	Satpara	Sazin	Tangir
broom	ˈloóši̱	lʌˈši̱	lʌˈši	ˈloóši̱	ˈlosi̥	ˈlɑɑši	ˈloóši̥		ˈlɑɑ́ši	leéši	ˈloóši̱	mɑˈǰini	ˈleéši	ˈlɑši	lʌˈši	luˈhɑši̱; luˈɑši̱	ˈloóši	ˈloóši	lᶺhoš	lɑˈeši̱	ˈlɛɛ́ši	loˈhɑš; loˈɑš	lɑˈeš	ˈloóši̱	ˈloóši	loˈɑši̥	lʌˈhɑši
brother	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ẓ̌ɑ	bʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	bʌṛo ẓ̌ɑ	ˈboṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛu ẓ̌ɑ	ˈbʌṛo̱ ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	bʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ	ˈbʌṛo ẓ̌ɑ
day	des	des	des; dez	des	des	ǰes	des	dezi	des	dez	des	des	des	des	ˈdeo	des	des	dɛs	des	det͡s	dɛz	des	des	des	des	des	dɛs
ear	ko̱ṇ	kʌn	kʌṇ	koṇ	koṇ	kon	ko̱ṇ	koṇ	koṇ	ko̱n	koṇ	koṇ	kʌ̱n	koṇ	ko̱n	koṇ	koṇ	koṇ	koṇ	ko̱n	ko̱n	ko̱ṇ	koṇ	koṇ	koṇ	koṇ	koṇ
eye	ɑˈč̣ʰi	ɑˈč̣ʰi	ɑ̱ˈṣ̌i	ʌˈṣ̌i	ʌˈč̣i	ʌˈṣ̌i	ɑˈč̣ʰi	ɑˈčʰe	ʌč̣i	ɑˈč̣ʰi̱; ɑˈṣ̌i	ɑˈč̣ʰi	ɑˈč̣ʰi	ɑˈč̣ʰi	ʌˈṣ̌i	ɑˈč̣ʰi	ɑˈč̣i	ʌˈč̣i	ɑ̱ˈčʰi	ɑˈč̣i̱; ɑˈṣ̌i	ɑˈč̣ʰi	ɑˈč̣ʰi	ɑč̣i	ɑˈč̣ʰi	ʌˈč̣i	ʌˈč̣i	ʌˈč̣ʰi	ɑˈč̣ʰi
fire	pʰu	ɑˈgɑr̃	hɑˈgɑr; ɑˈgɑr	hʌgɑr̃	hʌˈgɑr̃; ɑˈgɑr̃	hʌˈgɑr	pʰu		hʌgɑr	ʰɑˈgɑr; ɑˈgɑr	pʰu	hɑˈgɑr	ɑˈgɑr̃	hʌˈgɑr	ɑˈgɑr̃	hɑˈgɑr	pʰu	pʰu	hɑˈgɑr	ɑˈgɑr̃	ɑˈgɑr	hɑˈgɑr	hɑˈgɑr̃	ɑˈgɑr	pʰu; ɑˈgɑr̃o	hʌˈgɑr	hʌˈgɑr̃
firewood	ˈkɑ̀ɑṭo̱	ǰu̱k	ǰu̱k	ˈkɑ̀ɑṭo	ˈkɑṭo̥	ˈkɑ̀ɑṭo	ˈkɑ̀ɑṭo̱	ˈkɑṭo	ǰuk	ǰu̱k	ˈkɑ̀ɑṭo̱	ˈkɑɑṭo	ǰu̱k	ˈkɑɑṭɛ	ǰu̱k	kɑɑṭʰ; kɑṛṭ	ǰ̣uk; ˈkɑ̀ɑṭo	ˈfuǰʌn ˈkɑɑṛo	kɑṭʰ	ǰu̱k; ˈčùuni	ˈčùuni̱	kɑɑṭo̱; kɑṛṭ	ǰu̱k	ǰʊk	ˈkɑ̀ɑṭo	ˈkɑɑṭo	ˈkɑ̀ɑṭo
head	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪ̱ṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌iṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪ̱ṣ̌	ṣ̌iṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪ̱ṣ̌	šɪš	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌	ṣ̌ɪṣ̌
hot	ˈtɑto	ˈtɑ̀ɑto	ˈtɑɑ́to	ˈtʌto̱	ˈtʌto̱	ˈtɑɑto	ˈtɑto	ˈtɑto	ˈtɑɑto	ˈtɑɑ́to	ˈtɑto	ˈtɑto	ˈtɑ̀ɑto̱	ˈtʌto	ˈtɑɑ́to	ˈtʌto̱	ˈtɑɑto	ˈtɑto	ˈtʌ̱tʰ; ˈtʌto̱	ˈtɑɑ́tu̱	ˈtɑɑ́to	ˈtʌto	ˈtɑɑto̱	ˈtɑɑto	ˈtɑto	ˈtʌto	ˈtʌto̱
house	gooṣ̌	gòóṭ	gòóṭ	goṣ̌	goṣ̌	gooṣ̌	gooṣ̌	goṣ̌	gòóṭ	gòóṭ	gooṣ̌	gòóṭ	gòóṭ	goṣ̌	gòóṭ	gooṣ̌	gòóṭ; goṣ̌	goṣ̌	gooṣ̌	gòóṭ	gòóṭ	gooṣ̌	gòóṭ	goṭ	goṣ̌	gooṣ̌	gooṣ̌
