Entry_ID	Form_ID	Word	Gloss	Flags	Headword	Head_Strategy	Source	Tags
d5	f_khdmytkmvtoze	Coronilla grandiflora	</i> or <i>	uncontracted-comparison-candidate	akatti	dedr-reflex	dedr	
d83	f_jplcqgt23bwnq	aḍucu-konu	to become obstructed or choked, be stopped, choke	uncontracted-comparison-candidate	**aṭV-	krishnamurti-pfeiffer	dedr	
d72	f_a57tvmje7sedi	aḍugu	foot, footstep, footprint, step, pace, measure of a foot, bottom, basis	uncontracted-comparison-candidate	*aṭ-V	krishnamurti-pfeiffer	dedr	
d72	f_b6gtt7wm2j7f4	aḍime	slavery, slave, bondman	uncontracted-comparison-candidate	*aṭ-V	krishnamurti-pfeiffer	dedr	
d72	f_gypbn732abyeu	aḍiyãḍu	slave, servant	uncontracted-comparison-candidate	*aṭ-V	krishnamurti-pfeiffer	dedr	
d72	f_c62oge5qf5sra	aḍi-gaṟṟa	sandal, wooden shoe	uncontracted-comparison-candidate	*aṭ-V	krishnamurti-pfeiffer	dedr	
d587	f_cv4l4xl2sicn4	uḍupu	a suit of clothes, dress	uncontracted-comparison-candidate	*uḍ-	merriam-pdr	dedr	
d1109	f_6sc4jqt5r4bvq	kaḍacu	to pass, elapse; pass over, cross, transgress, exceed	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_kvl35iz7twseu	gaḍacu	to pass, elapse; pass over, cross, transgress, exceed	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_xflv2nyhknqp2	gaḍucu	to pass, elapse; pass over, cross, transgress, exceed	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_nrbuw62tpux4y	kaḍapu	to pass, cause to pass or elapse, put off, defer, drive, push	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_sadwlj3o5cs74	gaḍupu	to pass, cause to pass or elapse, put off, defer, drive, push	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_o7vj6dzmuan6y	kaḍa	end, extremity, place, direction, vicinity	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_ypp3df24wxdgw	kaḍagoṭṭu	to die; the youngest, last	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	adj
d1109	f_swn7zrs4qqopy	kaḍacanu	to die, be destroyed or lost, be completed; cross, pass over	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_h2mffz54ydrpk	kaḍategu	to end, come to a close	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_dw2hnnwlekcjm	kaḍapa	threshold	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_egltzh27uycda	gaḍapa	threshold	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_mcv7423dslupu	kaḍapaṭa	at last	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_6bdmwjnogxqyo	kaḍapaṭi	last, final	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_2i5e2fen6xvru	kaḍapala	the end	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_roapvop7hw34s	kaḍama	remainder; remaining	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1109	f_zabm6lf3d7ym6	gaḍuvu	term, period, or limit of time, appointed time within which action is to be performed	uncontracted-comparison-candidate	*kaṭ-ay	krishnamurti-pfeiffer	dedr	
d1123	f_avvhjxxx44ayq	krēpu	calf (? or with 1594 Ta.ciṟu)	initial-apical-or-cluster;initial-cluster	*kaṭ-ac-	krishnamurti-pfeiffer	dedr	
