Dimension	Value	Language_ID	Entry_ID	Family_ID	Outcome
all	all	AluKurumba	d63	d63	missing
all	all	AluKurumba	d72	d72	missing
all	all	AluKurumba	d77	d77	missing
all	all	AluKurumba	d78	d78	missing
all	all	AluKurumba	d79	d79	missing
all	all	AluKurumba	d80	d80	missing
all	all	AluKurumba	d81	d81	missing
all	all	AluKurumba	d86	d86	missing
all	all	AluKurumba	d202	d202	missing
all	all	AluKurumba	d221	d221	missing
all	all	AluKurumba	d228	d228	missing
all	all	AluKurumba	d229	d229	missing
all	all	AluKurumba	d233	d233	missing
all	all	AluKurumba	d236	d236	missing
all	all	AluKurumba	d237	d237	missing
all	all	AluKurumba	d240	d240	missing
all	all	AluKurumba	d61	d61	missing
all	all	AluKurumba	d64	d64+d88	missing
all	all	AluKurumba	d75	d75	missing
all	all	AluKurumba	d76	d76	missing
all	all	AluKurumba	d83	d83	missing
all	all	AluKurumba	d84	d84	missing
all	all	AluKurumba	d88	d64+d88	missing
all	all	AluKurumba	d89	d89	missing
all	all	AluKurumba	d109	d109	missing
all	all	AluKurumba	d201	d201	missing
all	all	AluKurumba	d205	d205	missing
all	all	AluKurumba	d207	d207	missing
all	all	AluKurumba	d216	d216	missing
all	all	AluKurumba	d222	d222	missing
all	all	AluKurumba	d227	d227	missing
all	all	AluKurumba	d232	d232	missing
all	all	AluKurumba	d244	d244	missing
all	all	AluKurumba	d245	d245	missing
all	all	AluKurumba	d246	d246	missing
all	all	AluKurumba	d247	d247	missing
all	all	AluKurumba	d248	d248	missing
all	all	AluKurumba	d249	d249	missing
all	all	AluKurumba	d259	d259+d260	missing
all	all	AluKurumba	d260	d259+d260	missing
all	all	AluKurumba	d276	d276	missing
all	all	AluKurumba	d277	d277	missing
all	all	AluKurumba	d281	d281	missing
all	all	AluKurumba	d282	d282	missing
all	all	AluKurumba	d285	d285	missing
all	all	AluKurumba	d295	d291+d295	missing
all	all	AluKurumba	d296	d296	missing
all	all	AluKurumba	d298	d298	missing
all	all	AluKurumba	d299	d299	missing
all	all	AluKurumba	d301	d301	missing
all	all	AluKurumba	d303	d303	missing
all	all	AluKurumba	d304	d304	missing
all	all	AluKurumba	d305	d305	missing
all	all	AluKurumba	d314	d314	missing
all	all	AluKurumba	d321	d321	missing
all	all	AluKurumba	d203	d203	missing
all	all	AluKurumba	d211	d211	missing
all	all	AluKurumba	d215	d215	missing
all	all	AluKurumba	d241	d241	missing
all	all	AluKurumba	d242	d242	missing
all	all	AluKurumba	d256	d256	missing
all	all	AluKurumba	d257	d257	missing
all	all	AluKurumba	d291	d291+d295	missing
all	all	AluKurumba	d306	d306	missing
all	all	AluKurumba	d307	d307	missing
all	all	AluKurumba	d308	d308	missing
all	all	AluKurumba	d310	d310	missing
all	all	AluKurumba	d313	d313	missing
all	all	AluKurumba	d315	d315	missing
all	all	AluKurumba	d316	d316	missing
all	all	AluKurumba	d317	d317	missing
all	all	AluKurumba	d318	d318	missing
all	all	AluKurumba	d319	d319	missing
all	all	AluKurumba	d322	d322	missing
all	all	AluKurumba	d328	d328	missing
all	all	AluKurumba	d329	d329	missing
all	all	AluKurumba	d432	d432	missing
all	all	AluKurumba	d434	d434+d448	missing
all	all	AluKurumba	d435	d435	missing
all	all	AluKurumba	d437	d437	missing
all	all	AluKurumba	d439	d439	missing
all	all	AluKurumba	d442	d442	missing
all	all	AluKurumba	d443	d443	missing
all	all	AluKurumba	d445	d445	missing
all	all	AluKurumba	d446	d446	missing
all	all	AluKurumba	d447	d447	missing
all	all	AluKurumba	d448	d434+d448	missing
all	all	AluKurumba	d449	d449	missing
all	all	AluKurumba	d455	d455	missing
all	all	AluKurumba	d444	d444	missing
all	all	AluKurumba	d451	d451	missing
all	all	AluKurumba	d452	d452	missing
all	all	AluKurumba	d453	d453	missing
all	all	AluKurumba	d454	d454	missing
all	all	AluKurumba	d457	d457	missing
all	all	AluKurumba	d472	d472	missing
all	all	AluKurumba	d490	d490	missing
all	all	AluKurumba	d474	d474	missing
all	all	AluKurumba	d475	d475	missing
all	all	AluKurumba	d476	d476	missing
all	all	AluKurumba	d477	d477	missing
all	all	AluKurumba	d480	d480	missing
all	all	AluKurumba	d481	d481	missing
all	all	AluKurumba	d483	d483	missing
all	all	AluKurumba	d484	d484	missing
all	all	AluKurumba	d485	d485	missing
all	all	AluKurumba	d486	d486	missing
all	all	AluKurumba	d489	d489	missing
all	all	AluKurumba	d494	d494	missing
all	all	AluKurumba	d495	d495	missing
all	all	AluKurumba	d499	d499	missing
all	all	AluKurumba	d502	d502	missing
all	all	AluKurumba	d504	d504	missing
all	all	AluKurumba	d507	d507	missing
all	all	AluKurumba	d508	d508	missing
all	all	AluKurumba	d512	d512	missing
all	all	AluKurumba	d513	d513	missing
all	all	AluKurumba	d516	d516	missing
all	all	AluKurumba	d517	d517	missing
all	all	AluKurumba	d520	d520	missing
all	all	AluKurumba	d524	d524	missing
all	all	AluKurumba	d527	d527	missing
all	all	AluKurumba	d528	d528	missing
all	all	AluKurumba	d529	d529	missing
all	all	AluKurumba	d533	d533	missing
all	all	AluKurumba	d561	d561	missing
all	all	AluKurumba	d570	d570	missing
all	all	AluKurumba	d572	d572	missing
all	all	AluKurumba	d586	d586	missing
all	all	AluKurumba	d536	d536	missing
all	all	AluKurumba	d545	d545	missing
all	all	AluKurumba	d558	d558	missing
all	all	AluKurumba	d560	d560	missing
all	all	AluKurumba	d562	d562	missing
all	all	AluKurumba	d587	d587	missing
all	all	AluKurumba	d588	d588	missing
all	all	AluKurumba	d589	d589	missing
all	all	AluKurumba	d590	d590	missing
all	all	AluKurumba	d592	d592	missing
all	all	AluKurumba	d593	d593	missing
all	all	AluKurumba	d648	d648	missing
all	all	AluKurumba	d649	d649	missing
all	all	AluKurumba	d651	d651	missing
