Dimension	Value	Language_ID	N_Annotated_Entries	N_Attested	N_Reviewed	N_Decisive_Nonloan	N_Displacement_Only	N_Retained_Only	N_Mixed	N_Other	N_Ambiguous	N_Loan	N_Missing	N_Unreviewed_Attested	Any_Displacement_Among_Decisive	Any_Displacement_Numerator	Any_Displacement_Denominator	Unit
all	all	AluKurumba	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Badaga	409	191	170	145	0	102	0	43	24	1	218	21	0.0	0	145	DEDR group; root-family merging sensitivity still separate
all	all	Belari	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	BettaKurumba	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Brahui	409	58	56	37	4	23	3	7	18	1	351	2	0.1891891891891892	7	37	DEDR group; root-family merging sensitivity still separate
all	all	Eravallan	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Gadaba	409	108	104	79	0	67	0	12	19	6	301	4	0.0	0	79	DEDR group; root-family merging sensitivity still separate
all	all	Gondi	409	177	174	137	8	107	8	14	30	7	232	3	0.11678832116788321	16	137	DEDR group; root-family merging sensitivity still separate
all	all	Irula	409	13	13	5	0	2	0	3	8	0	396	0	0.0	0	5	DEDR group; root-family merging sensitivity still separate
all	all	Kadar	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Kannada	409	298	297	261	0	205	0	56	35	1	111	1	0.0	0	261	DEDR group; root-family merging sensitivity still separate
all	all	Kodagu	409	138	133	128	0	104	0	24	4	1	271	5	0.0	0	128	DEDR group; root-family merging sensitivity still separate
all	all	Kolami	409	126	120	69	0	58	0	11	40	11	283	6	0.0	0	69	DEDR group; root-family merging sensitivity still separate
all	all	Konda	409	144	143	123	21	81	13	8	18	2	265	1	0.2764227642276423	34	123	DEDR group; root-family merging sensitivity still separate
all	all	Koraga	409	32	28	24	0	19	0	5	4	0	377	4	0.0	0	24	DEDR group; root-family merging sensitivity still separate
all	all	Kota	409	182	175	165	0	133	0	32	9	1	227	7	0.0	0	165	DEDR group; root-family merging sensitivity still separate
all	all	Kudiya	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Kui	409	156	154	114	59	36	12	7	39	1	253	2	0.6228070175438597	71	114	DEDR group; root-family merging sensitivity still separate
all	all	Kurumba	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Kurux	409	80	74	65	0	46	0	19	9	0	329	6	0.0	0	65	DEDR group; root-family merging sensitivity still separate
all	all	Kuwi	409	152	150	110	35	48	19	8	36	4	257	2	0.4909090909090909	54	110	DEDR group; root-family merging sensitivity still separate
all	all	MalaMalasar	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	MalaPulaya	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Malasar	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Malayalam	409	273	271	262	0	240	0	22	8	1	136	2	0.0	0	262	DEDR group; root-family merging sensitivity still separate
all	all	Malto	409	69	65	58	0	46	0	12	7	0	340	4	0.0	0	58	DEDR group; root-family merging sensitivity still separate
all	all	Manda	409	69	69	58	26	25	2	5	11	0	340	0	0.4827586206896552	28	58	DEDR group; root-family merging sensitivity still separate
all	all	Mannan	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Muduga	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Muthuvan	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
all	all	Naiki	409	48	45	35	0	28	0	7	9	1	361	3	0.0	0	35	DEDR group; root-family merging sensitivity still separate
all	all	Naikri	409	88	84	55	0	45	0	10	23	6	321	4	0.0	0	55	DEDR group; root-family merging sensitivity still separate
all	all	OMal	409	3	2	2	0	2	0	0	0	0	406	1	0.0	0	2	DEDR group; root-family merging sensitivity still separate
all	all	OTelugu	409	14	14	12	3	8	0	1	2	0	395	0	0.25	3	12	DEDR group; root-family merging sensitivity still separate
all	all	Paliya	409	0	0	0	0	0	0	0	0	0	409	0		0	0	DEDR group; root-family merging sensitivity still separate
