Language_ID	Status	Immediate_Kind	N_Records
AluKurumba		reflex	10
AluKurumba	unlinked		648
Badaga		reflex	9760
Badaga		variant	3384
Badaga	unlinked		3742
Belari		reflex	1
BettaKurumba		reflex	1
BettaKurumba	unlinked		276
Brahui		borrowed	1
Brahui		reflex	518
Brahui		variant	13
Brahui	unlinked		3550
Drav	entry		12
Eravallan	unlinked		454
Gadaba		borrowed	1
Gadaba		reflex	1319
Gadaba		variant	12
Gadaba	unlinked		1760
Gondi		reflex	6847
Gondi		variant	119
Gondi	unlinked		11599
Irula		reflex	70
Irula	unlinked		4161
Kadar	unlinked		443
Kannada		reflex	11292
Kannada		variant	171
Kannada	unlinked		2689
Kodagu		reflex	1790
Kodagu		variant	3
Kodagu	unlinked		109
Kolami		reflex	1381
Kolami		variant	5
Kolami	entry		6
Kolami	unlinked		69
Konda		reflex	1482
Konda		variant	37
Konda	unlinked		289
Koraga		reflex	319
Kota		reflex	3555
Kota		variant	493
Kota	unlinked		1003
Kudiya	unlinked		397
Kui		reflex	1864
Kui		variant	3
Kui	unlinked		175
Kurumba	unlinked		463
Kurux		reflex	1502
Kurux		variant	1
Kurux	unlinked		2861
Kuwi		reflex	3435
Kuwi		variant	14
MalaMalasar	unlinked		220
MalaPulaya	unlinked		246
Malasar	unlinked		446
Malayalam		reflex	7845
Malayalam		variant	11
Malayalam	unlinked		175
Malto		reflex	1211
Malto		variant	8
Malto	unlinked		172
Manda		reflex	536
Manda		variant	3
Mannan	unlinked		1745
Muduga	unlinked		449
Muthuvan	unlinked		1931
Naiki		reflex	487
Naiki		variant	25
Naiki	entry		6
Naikri		reflex	684
Naikri		variant	5
OMal		reflex	19
OTelugu		reflex	97
OTelugu		variant	1
PCDr		reflex	89
PDr		variant	3526
PDr	entry		5983
PKMDr		reflex	184
PNDr		reflex	11
PSD1		reflex	1674
PSD1	unlinked		3
PSD2		reflex	396
PSD2	unlinked		2
PSTDr		reflex	1736
PSTDr	unlinked		1
Paliya	unlinked		239
PaluKurumba		reflex	4
Parji		reflex	1416
Parji		variant	10
Pengo		reflex	998
Pengo		variant	18
Sholaga		reflex	5
Tamil		reflex	12423
Tamil		variant	24
Tamil	entry		1
Tamil	unlinked		187
Telugu		reflex	8458
Telugu		variant	332
Telugu	unlinked		167
Toda		reflex	4422
Toda		variant	1211
Toda	unlinked		5777
Tulu		reflex	6935
Tulu		variant	61
Tulu	unlinked		168
Urali	unlinked		469
markodi		borrowed	36
markodi		reflex	430
markodi	unlinked		146
pampa		reflex	85
pampa		variant	2
