Partition	Family_ID	Entry_IDs	Domain	Onset	C1_Identity	Quantity	Apical_Group	Apical_Structure	V1_Quality	Following_Vowel	Grammatical_Category	Domain_Following_Vowel	Domain_Apical_Group	Domain_V1_Quality
primary	d63	d63	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d72	d72	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d77	d77	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d78	d78	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d79	d79	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d80	d80	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d81	d81	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d86	d86	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d202	d202	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d221	d221	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	adjective/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d228	d228	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d229	d229	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	low-a	noun/adjective	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d233	d233	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d236	d236	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a
primary	d237	d237	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a
primary	d240	d240	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	lateral	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / lateral	short-vowel-initial-singleton-apical / a
primary	d61	d61	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d64+d88	d64;d88	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d75	d75	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d76	d76	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	high-u	verb/noun	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d83	d83	short-strong-or-mixed-structure	vowel-initial	Ø	short	retroflex-stop	mixed/cluster/other	a	low-a	verb/noun/adjective	short-strong-or-mixed-structure / low-a	short-strong-or-mixed-structure / retroflex-stop	short-strong-or-mixed-structure / a
primary	d84	d84	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	verb/noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d89	d89	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	retroflex-stop	singleton	a	low-a	noun	short-vowel-initial-singleton-apical / low-a	short-vowel-initial-singleton-apical / retroflex-stop	short-vowel-initial-singleton-apical / a
primary	d109	d109	nonapical-or-uncertain-input	vowel-initial	Ø	short	nonapical-or-uncertain	mixed/cluster/other	a	mixed/unknown-formative	noun/verb	nonapical-or-uncertain-input / mixed/unknown-formative	nonapical-or-uncertain-input / nonapical-or-uncertain	nonapical-or-uncertain-input / a
primary	d201	d201	nonapical-or-uncertain-input	consonant-initial	r	long	nonapical-or-uncertain	singleton	mixed/uncertain-vowel	low-a	noun	nonapical-or-uncertain-input / low-a	nonapical-or-uncertain-input / nonapical-or-uncertain	nonapical-or-uncertain-input / mixed/uncertain-vowel
primary	d205	d205	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d207	d207	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d216	d216	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	high-i	noun/verb	short-vowel-initial-singleton-apical / high-i	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d222	d222	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	mixed/unknown-formative	verb/noun	short-vowel-initial-singleton-apical / mixed/unknown-formative	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d227	d227	short-vowel-initial-singleton-apical	vowel-initial	Ø	short	rhotic	singleton	a	high-u	noun/verb	short-vowel-initial-singleton-apical / high-u	short-vowel-initial-singleton-apical / rhotic	short-vowel-initial-singleton-apical / a
primary	d232	d232	short-strong-or-mixed-structure	vowel-initial	Ø	short	rhotic	mixed/cluster/other	a	mixed/unknown-formative	verb/noun	short-strong-or-mixed-structure / mixed/unknown-formative	short-strong-or-mixed-structure / rhotic	short-strong-or-mixed-structure / a
