Entry_ID	Primary_Family_ID	Sensitivity_Family_ID
d1	deictic-a-i	sensitivity:d1;d410
d1079	d1079	sensitivity:d1079
d109	d109	sensitivity:d109
d1123	d1123	sensitivity:d1123;d1594
d1181	d1181	sensitivity:d1181
d1235	d1235	sensitivity:d1235
d1278	d1278	sensitivity:d1278
d1287	d1287	sensitivity:d1287
d1291	d1291	sensitivity:d1291
d1292	d1292	sensitivity:d1292
d1347	d1347	sensitivity:d1347
d1349	d1349	sensitivity:d1349
d1359	d1359	sensitivity:d1359
d1368	d1368	sensitivity:d1368
d1477	d1477	sensitivity:d1477
d1479	d1479	sensitivity:d1479
d1507	d1507	sensitivity:d1507
d1509	d1509	sensitivity:d1509
d1574	d1574	sensitivity:d1574
d1580	d1580	sensitivity:d1580
d1594	d1594	sensitivity:d1123;d1594
d1595	d1595	sensitivity:d1595
d1619	d1619	sensitivity:d1619
d1680	d1680	sensitivity:d1680
d1767	d1767	sensitivity:d1767;d1826
d1769	d1769	sensitivity:d1769
d1774	d1774	sensitivity:d1774
d1778	d1778	sensitivity:d1778;d1851
d1787	d1787	sensitivity:d1787
d1802	d1802	sensitivity:d1802
d1818	d1818	sensitivity:d1818
d1822	d1822	sensitivity:d1822
d1826	d1826	sensitivity:d1767;d1826
d1850	d1850	sensitivity:d1850
d1851	d1851	sensitivity:d1778;d1851
d1853	d1853	sensitivity:d1853
d1859	d1859	sensitivity:d1859
d1861	d1861	sensitivity:d1861
d1898	d1898	sensitivity:d1898
d1906	d1906	sensitivity:d1906
d1923	d1923	sensitivity:d1923
d1959	d1959	sensitivity:d1959
d1964	d1964	sensitivity:d1964
d2008	d2008	sensitivity:d2008
d201	d201	sensitivity:d201
d2010	d2010	sensitivity:d2010
d2018	d2018	sensitivity:d2018
d202	d202	sensitivity:d202
d203	d203	sensitivity:d203
d205	d205	sensitivity:d205
d207	d207	sensitivity:d207;d259;d260
d2090	d2090	sensitivity:d2090
d211	d211	sensitivity:d211
d2146	d2146	sensitivity:d2146
d2149	d2149	sensitivity:d2149
d215	d215	sensitivity:d215
d216	d216	sensitivity:d216
d2176	d2176	sensitivity:d2176
d221	d221	sensitivity:d221
d222	d222	sensitivity:d222
d2233	d2233	sensitivity:d2233
d2237	d2237	sensitivity:d2237
d2247	d2247	sensitivity:d2247
d227	d227	sensitivity:d227
d228	d228	sensitivity:d228
d229	d229	sensitivity:d229
d232	d232	sensitivity:d232
d233	d233	sensitivity:d233;d315
d2356	d2356	sensitivity:d2356
d2359	d2359	sensitivity:d2359
d236	d236	sensitivity:d236;d240
d2360	d2360	sensitivity:d2360
d237	d237	sensitivity:d237
d240	d240	sensitivity:d236;d240
d241	d241	sensitivity:d241
d242	d242	sensitivity:d242
d244	d244	sensitivity:d244
d245	d245	sensitivity:d245
d2456	d2456	sensitivity:d2456
d246	d246	sensitivity:d246
d247	d247	sensitivity:d247;d248
d248	d248	sensitivity:d247;d248
d249	d249	sensitivity:d249
d256	d256	sensitivity:d256
d257	d257	sensitivity:d257
d259	d259+d260	sensitivity:d207;d259;d260
d260	d259+d260	sensitivity:d207;d259;d260
d2628	d2628	sensitivity:d2628
d2674	d2674	sensitivity:d2674
d2687	d2687	sensitivity:d2687
d2698	d2698	sensitivity:d2698
d276	d276	sensitivity:d276;d281
d277	d277	sensitivity:d277
d281	d281	sensitivity:d276;d281
d282	d282	sensitivity:d282
d285	d285	sensitivity:d285
d2883	d2883	sensitivity:d2883
d291	d291+d295	sensitivity:d291;d295
d2929	d2929	sensitivity:d2929
d295	d291+d295	sensitivity:d291;d295
d296	d296	sensitivity:d296;d307
d298	d298	sensitivity:d298
d2988	d2988	sensitivity:d2988
d299	d299	sensitivity:d299
d301	d301	sensitivity:d301
d3014	d3014	sensitivity:d3014
d303	d303	sensitivity:d303
d304	d304	sensitivity:d304;d306
d305	d305	sensitivity:d305
d306	d306	sensitivity:d304;d306
d307	d307	sensitivity:d296;d307
d308	d308	sensitivity:d308
d3095	d3095	sensitivity:d3095
d310	d310	sensitivity:d310
d3115	d3115	sensitivity:d3115
d3119	d3119	sensitivity:d3119
d3122	d3122	sensitivity:d3122
d313	d313	sensitivity:d313
d314	d314	sensitivity:d314
d315	d315	sensitivity:d233;d315
d3158	d3158	sensitivity:d3158
d316	d316	sensitivity:d316
d317	d317	sensitivity:d317
d3174	d3174	sensitivity:d3174
d318	d318	sensitivity:d318
d319	d319	sensitivity:d319
d3192	d3192	sensitivity:d3192
d3195	d3195	sensitivity:d3195
d321	d321	sensitivity:d321
d322	d322	sensitivity:d322
d3244	d3244	sensitivity:d3244
d3246	d3246	sensitivity:d3246
d3259	d3259	sensitivity:d3259
