ID	Name	Glottocode	Latitude	Longitude	Clade	Location	Quality
AluKurumba	Alu Kurumba	aluk1238	11.35	76.80	S. Dravidian I		
Badaga	Badaga	bada1257	11.31	76.60	S. Dravidian I		
Belari	Belari	bell1261	12.59	76.10	S. Dravidian I		
BettaKurumba	Betta Kurumba	bett1235	11.64	76.61	S. Dravidian I		
Brahui	Brahui	brah1256	29.04	66.56	Brahui		
Drav	Dravidian	drav1251	10.52	78.83	Old Dravidian		
Eravallan	Eravallan	erav1242	10.62	76.80	S. Dravidian I	Palakkad district, Kerala, India	C
Gadaba	Gadaba	mudh1235	18.28	83.38	C. Dravidian		
Gondi	Gondi	gond1265	20.10	80.28	S. Dravidian II		
Irula	Irula	irul1243	11.353	76.7959	S. Dravidian I		
Kadar	Kadar	kada1242	10.35	76.75	S. Dravidian I	Palakkad district, Kerala, India	C
Kannada	Kannada	nucl1305	13.59	76.12	S. Dravidian I		
Kodagu	Kodagu	koda1255	12.24	75.92	S. Dravidian I		
Kolami	Kolami	nort2699	20.10	78.49	C. Dravidian		
Konda	Konda	kond1295	18.27	82.93	S. Dravidian II		
Koraga	Koraga	kora1289	12.92	75.20	S. Dravidian I		
Kota	Kota	kota1263	11.50	76.94	S. Dravidian I		
Kudiya	Kudiya	kudi1237	12.3	75.5	S. Dravidian I	Kodagu and Dakshina Kannada, Karnataka; Kasargod, Kerala	C
Kui	Kui	kuii1252	19.20	83.59	S. Dravidian II		
Kurumba	Attappady Kurumba	atta1243	11.05	76.70	S. Dravidian I	Palakkad district, Kerala, India	C
Kurux	Kurux	kuru1301	24.46	86.47	N. Dravidian		
Kuwi	Kuwi	kuvi1243	18.88	83.76	S. Dravidian II		
MalaMalasar	Mala Malasar	mala1457	10.55	76.88	S. Dravidian I	Palakkad district, Kerala, India	C
MalaPulaya	Mala Pulaya	pula1261	9.75	77.10	S. Dravidian I	Idukki district, Kerala, India	C
Malasar	Malasar	mala1458	10.60	76.85	S. Dravidian I	Palakkad district, Kerala, India	C
Malayalam	Malayalam	mala1464	9.59	76.77	S. Dravidian I		
Malto	Malto	saur1249	24.81	87.64	N. Dravidian		
Manda	Manda	mand1413	20.10	83.67	S. Dravidian II		
Mannan	Mannan	mann1246	9.85	77.15	S. Dravidian I	Idukki district, Kerala, India	C
Muduga	Muduga	mudu1239	10.98	76.68	S. Dravidian I	Palakkad district, Kerala, India	C
Muthuvan	Muthuvan	muth1236	10.05	76.95	S. Dravidian I	Idukki district, Kerala, India	C
Naiki	Naiki (Chanda)	naik1250	19.95	79.297	C. Dravidian		
Naikri	Naikri	sout1549	19.69	78.59	C. Dravidian		
OMal	Old Malayalam	mala1464	9.59	76.77	S. Dravidian I		
OTelugu	Old Telugu	oldt1249	16.45	78.70	S. Dravidian II		
PCDr	Proto-Central Dravidian				C. Dravidian		
PDr	Proto-Dravidian	drav1251	14	76	Old Dravidian		
PKMDr	Proto-Kurukh–Malto				N. Dravidian		
PNDr	Proto-Northern Dravidian				Old Dravidian		
PSD1	Proto-South Dravidian I				S. Dravidian I		
PSD2	Proto-South Dravidian II				S. Dravidian II		
PSTDr	Proto-South Total Dravidian				Old Dravidian		
Paliya	Paliya	pali1274	9.60	77.16	S. Dravidian I	Idukki district, Kerala, India	C
PaluKurumba	Palu Kurumba	atta1243	11.16	76.54	S. Dravidian I		
Parji	Parji	duru1236	19.05	82.49	C. Dravidian		
Pengo	Pengo	peng1244	19.34	83.66	S. Dravidian II		
Sholaga	Sholaga	shol1240	11.95	77.22	S. Dravidian I		
Tamil	Tamil	tami1289	10.52	78.83	S. Dravidian I		
Telugu	Telugu	telu1262	16.45	78.70	S. Dravidian II		
Toda	Toda	toda1252	11.42	77.02	S. Dravidian I		
Tulu	Tulu	tulu1258	12.81	75.27	S. Dravidian I		
Urali	Urali	ural1274	9.85	76.97	S. Dravidian I	Idukki district, Kerala, India	C
markodi	Markodi		12.350567	75.23855	S. Dravidian I		C
pampa	Old Kannada	oldk1250	13.24	75.82	S. Dravidian I		C
