Partition	Input_Domain	Language_A	Language_B	Family_ID	Entry_IDs	Outcome_A	Outcome_B	Evidence_A	Evidence_B
primary	all-reviewed-inputs	Badaga	Brahui	d314	d314	R	R	f_2ytqm5z4qthgk;f_do27h3d66hloo;f_flobn7isnuinw;f_pmed6ljdrlmq2	f_feeucghr7ru52
primary	all-reviewed-inputs	Badaga	Brahui	d474	d474	R	R	f_2iagqnw3w5dc6;f_aagqw7isbb35q;f_auyebxidqql5e;f_h7vk5w5b7ziog;f_ieuhfmtmpzwti;f_nd65wumcxzsig;f_nul3jlftuzzjw	f_aawymyurxihtk;f_rhi7jq7vdh7sc
primary	all-reviewed-inputs	Badaga	Brahui	d1818	d1818	R	R	f_dnen7kk2fxtgq;f_fhzflmkuj2khg;f_hjrbb2btpyyl4;f_mtuxaqnxwmm4k	f_l4izl2pfivstw
primary	all-reviewed-inputs	Badaga	Brahui	d3246	d3246	R	R	f_2kjsztbaeahmk;f_6gxu6dxhdfjbq;f_dryg77eqxhu4c;f_l376k5eh5i2gy;f_mfw6qj47xpmlo;f_p2y6xw6kk4tks;f_slcjyz3u5i2cw;f_sqx4krpgl3k2m;f_zzrmjzg6zuoss	f_flfg4n3vdyrdm
primary	all-reviewed-inputs	Badaga	Brahui	d4410	d4410	R	R	f_3cq7e62ohzhwe;f_eurjihkky3pji;f_naa7hebeyils6;f_qyreuylmbafc6;f_wdlts6ldzf5va	f_sxr2fpz4li47g
primary	all-reviewed-inputs	Badaga	Brahui	d4968	d4968	R	R	f_ya6rbd56km35w	f_c5nzym5dymdi4
primary	all-reviewed-inputs	Badaga	Brahui	d833	d833	R	R	f_6ns2rku6i5cl6;f_yfvejysaj7jgi;f_zpvyyqosqpzy6	f_5ew5ozbee5j7o
primary	all-reviewed-inputs	Badaga	Brahui	d1123	d1123	R	R	f_jdax6qc62emnq	f_djpr6vppbydhw;f_hzohfyldtswue
primary	all-reviewed-inputs	Badaga	Brahui	d2687	d2687	R	R	f_5dk3lanj65cwg;f_i6rkgfsophq3e	f_lsvpznct4anys;f_xs2q7cmpcniao
primary	all-reviewed-inputs	Badaga	Brahui	d4176	d4176	R	R	f_etkbv7lznw4x6;f_nrmcowgue5vpu	f_ouxkrd4tae3yg
primary	all-reviewed-inputs	Badaga	Gadaba	d282	d282	R	R	f_7o2kq2sjk54ra;f_cvc7zxzypfppa;f_evfug2c7wxcuc;f_prdqvxbmekzaa;f_qhq66yiy6o66u;f_xvn3wf2ihxihg;f_y5ihwfuddgemy	f_7wgkchno5gii6;f_fuv6rnh2rn5ii;f_y6mqdoetq7o4u;f_yrvaqqbpfbhls
primary	all-reviewed-inputs	Badaga	Gadaba	d442	d442	R	R	f_i7nut7kvg5yum	f_nuwxjcwpsvoes;f_p6o4332mp44uq
primary	all-reviewed-inputs	Badaga	Gadaba	d474	d474	R	R	f_2iagqnw3w5dc6;f_aagqw7isbb35q;f_auyebxidqql5e;f_h7vk5w5b7ziog;f_ieuhfmtmpzwti;f_nd65wumcxzsig;f_nul3jlftuzzjw	f_2junmoyl5wchg;f_3kg26h5xo4kpy;f_donlk4im7tku4;f_joeoyee2uzciw;f_vvzn3vbr3hb66;f_ydszvn3jbiuqm
primary	all-reviewed-inputs	Badaga	Gadaba	d587	d587	R	R	f_wfi2jos4rsnqa	f_ca7yj7fh4acxi
primary	all-reviewed-inputs	Badaga	Gadaba	d656	d656	R	R	f_3j7mgenvppt6c;f_cjov232xeu2wy;f_cvr7mck3ofspk;f_im2obqa4wh3iu;f_ovlhb6iv3v6km;f_y4vgstfdihjv6	f_6atv2ycwfdmhw;f_duvxsw25hyp5g
primary	all-reviewed-inputs	Badaga	Gadaba	d665	d665	R	R	f_4drh7jjpicdou;f_firbegiwvoade;f_zcgbkkm2por54	f_e5aujwvegs2oc
primary	all-reviewed-inputs	Badaga	Gadaba	d698	d698	R	R	f_2bp2mz5goi6hw;f_7w7qkit2tr3ie;f_aulhp4a6slcow;f_ej4csm5wvecpi;f_jzc4pyvr4e3ug;f_mbtrcqwvsgmlg;f_r3gztr3fefj7q;f_tjpx4unomcsdu	f_rvehenjyoaf5a;f_y3sylzmdbbfge
primary	all-reviewed-inputs	Badaga	Gadaba	d699	d699	R	R	f_2pydgsirwotk4	f_6nczo6mbihgt6
primary	all-reviewed-inputs	Badaga	Gadaba	d705	d705	R	R	f_5xdl2hkzgybt6	f_fbixmxznsshlg
primary	all-reviewed-inputs	Badaga	Gadaba	d1818	d1818	R	R	f_dnen7kk2fxtgq;f_fhzflmkuj2khg;f_hjrbb2btpyyl4;f_mtuxaqnxwmm4k	f_dt76e6bppifag;f_gt4hjicjkfvbs;f_jwlxsgs4oval4
primary	all-reviewed-inputs	Badaga	Gadaba	d2146	d2146	R	R	f_2wf4gwgsnrh62;f_phl4c7b4axxw2	f_4fo6aj27ymvdk;f_d6iplm2f54sag;f_zbprlfhcyxl6s
primary	all-reviewed-inputs	Badaga	Gadaba	d4194	d4194	R	R	f_35rdwaatdctko;f_o76leqecd3ueq;f_pk4td4fnceuu4	f_a77bjpzfr2vts;f_jqecylp33xily
primary	all-reviewed-inputs	Badaga	Gadaba	d3559	d3559	R	R	f_v7aqafai6u7zm	f_2yl2k3tr7nips;f_3jla75hdwy4xw;f_vun7zuuto7n5w;f_yqyz27mv5nknw
primary	all-reviewed-inputs	Badaga	Gadaba	d4410	d4410	R	R	f_3cq7e62ohzhwe;f_eurjihkky3pji;f_naa7hebeyils6;f_qyreuylmbafc6;f_wdlts6ldzf5va	f_meesn7fw3fy6w
primary	all-reviewed-inputs	Badaga	Gadaba	d3986	d3986	R	R	f_2uox6mykj2rba;f_7ezbejggbzab6;f_bjcqpqifk2ygw;f_k5gx5hkaxxb2a	f_e7trjehp3wnxo;f_piuyd3bkdq2c2;f_zkm2sz7ydd6bi
primary	all-reviewed-inputs	Badaga	Gadaba	d1479	d1479	R	R	f_a4is3q666gfvo;f_pvc24ppxmnkeg	f_5pp4duienmaze
primary	all-reviewed-inputs	Badaga	Gadaba	d4039	d4039	R	R	f_gf7jchjdlxwxm;f_stfargjdq5jsu;f_wriqaa6go7baa;f_xq6grvraszi22;f_ye4xod5pebdc6	f_5fx3p6lc4tfka;f_btmenvie3fjsm
primary	all-reviewed-inputs	Badaga	Gadaba	d2674	d2674	R	R	f_ksppzlyavdfxq	f_flfcoiauc7tgi;f_wmyk7nyj7hogc
primary	all-reviewed-inputs	Badaga	Gadaba	d833	d833	R	R	f_6ns2rku6i5cl6;f_yfvejysaj7jgi;f_zpvyyqosqpzy6	f_gjxthn5fit3sm
primary	all-reviewed-inputs	Badaga	Gadaba	d859	d859	R	R	f_5xps4426pvlg4;f_7wmgzpl6c4oou;f_aaapys7jgsoxi	f_xrmsebdtxxxxa
