Statistic	Value	Source_File	Selection
Telugu D-bearing families	117	family-class-counts.tsv	primary / ALL / Telugu / N_D_Bearing
Telugu D/R denominator	313	family-class-counts.tsv	primary / ALL / Telugu / N_DR_Informative
Telugu reviewed-attested denominator	370	family-class-counts.tsv	primary / ALL / Telugu / N_Attested_Reviewed
Telugu mixed families	51	family-class-counts.tsv	primary / ALL / Telugu / N_Mixed_DR
Telugu sensitivity D	113	family-class-counts.tsv	sensitivity / ALL / Telugu / N_D_Bearing
Telugu sensitivity DR	286	family-class-counts.tsv	sensitivity / ALL / Telugu / N_DR_Informative
Telugu sensitivity reviewed	334	family-class-counts.tsv	sensitivity / ALL / Telugu / N_Attested_Reviewed
reviewed_entries	409	quantitative-results.json	reviewed_entries
primary_families	403	quantitative-results.json	primary_families
sensitivity_families	365	quantitative-results.json	sensitivity_families
raw_language_ids	46	quantitative-results.json	raw_language_ids
time_aggregated_language_groups	43	quantitative-results.json	time_aggregated_language_groups
family_class_count_rows	19823	quantitative-results.json	family_class_count_rows
membership_rows	429312	quantitative-results.json	membership_rows
reviewed_entries	409	analysis-progress.json	reviewed_entries
reviewed_language_cells	3658	analysis-progress.json	reviewed_language_cells
evidence_record_links	9823	analysis-progress.json	evidence_record_links
unique_cited_form_ids	9742	analysis-progress.json	unique_cited_form_ids
cited_supplemental_observations	81	analysis-progress.json	cited_supplemental_observations
all_records_in_reviewed_groups	17558	analysis-progress.json	all_records_in_reviewed_groups
linkage_errors	0	analysis-progress.json	linkage_errors
all_dedr_groups	5548	coverage-results.json	all_dedr_groups
current_reviewed_entries	409	coverage-results.json	current_reviewed_entries
remaining_dedr_groups	5139	coverage-results.json	remaining_dedr_groups
telugu_bearing_dedr_groups	2701	coverage-results.json	telugu_bearing_dedr_groups
reviewed_telugu_bearing_dedr_groups	375	coverage-results.json	reviewed_telugu_bearing_dedr_groups
remaining_telugu_bearing_dedr_groups	2326	coverage-results.json	remaining_telugu_bearing_dedr_groups
independent_input_screen_groups	3489	coverage-results.json	independent_input_screen_groups
input_screen_reviewed_groups	388	coverage-results.json	input_screen_reviewed_groups
input_screen_pending_groups	3101	coverage-results.json	input_screen_pending_groups
prior_cluster_groups	116	coverage-results.json	prior_cluster_groups
prior_cluster_now_fully_reviewed	116	coverage-results.json	prior_cluster_now_fully_reviewed
prior_cluster_not_currently_fully_reviewed	0	coverage-results.json	prior_cluster_not_currently_fully_reviewed
historical_observations	14	auxiliary-results.json	historical_observations
unlinked_records_assessed	18	auxiliary-results.json	unlinked_records_assessed
kunha_published_pairs	30	auxiliary-results.json	kunha_published_pairs
source_paradigms	55	auxiliary-results.json	source_paradigms
counterexample-to-obligatory-application	134	quantitative-results.json	broad_obligatory_test / counterexample-to-obligatory-application
consistent-D	55	quantitative-results.json	broad_obligatory_test / consistent-D
not-decisive	46	quantitative-results.json	broad_obligatory_test / not-decisive
total_forms	677797	input-manifest.json	total_forms
total_edges	357003	input-manifest.json	total_edges
selected_records	162451	input-manifest.json	selected_records
research_groups	53253	input-manifest.json	research_groups
dedr_groups	5548	input-manifest.json	dedr_groups
