Language_ID	Disposition	N_Records	N_Families
Kui	duplicate-compound	1	1
Kui	editorial-input-fragment	1	1
Kui	english-or-metadata-match	18	16
Kui	input-unresolved	5	5
Kui	nominal-plural-control	6	6
Kui	source-supported-verbal-input	64	61
Kui	vowel-stem-plus-complex-pk-control	3	2
Kuwi	comparatively-supported-verbal-input	2	2
Kuwi	different-noninitial-contraction	1	1
Kuwi	english-or-metadata-match	14	11
Kuwi	input-unresolved	2	2
Kuwi	labial-stem-plus-velar-control	8	3
Kuwi	nominal-plural-control	7	5
Kuwi	possible-retained-counterexample	1	1
Pengo	english-or-metadata-match	1	1
Pengo	input-unresolved	6	5
Pengo	nominal-plural-control	1	1
Pengo	source-supported-verbal-input	5	4
Pengo	word-boundary-control	1	1
Manda	comparatively-supported-verbal-input	2	2
Manda	english-or-metadata-match	1	1
Manda	labial-stem-plus-velar-control	1	1
Manda	nominal-plural-control	1	1
