ID	Language_ID	Form	Gloss	Native	Phonemic	Original	Cognateset	Description	Tags	Source	Etymology	Redirect	Status	Research_Group	DEDR_ID	Accepted_Root_ID	Immediate_Parent_ID	Immediate_Kind	Borrowed_In_Path	Clade	Is_Dravidian	Candidate_Flags
f_2shiah6khbeyq	Kui	abga (&lt	to be seemly, be proper, be fitting, be suitable, suit, fit, agree, fulfil, suitability. DEDS 44			abga (&lt	0:		noun	dedr				d325	d325	d325	d325	reflex	0	S. Dravidian II	1	nonapical-control
f_2vphnxjlhsbli	Kui	rāpka	(&lt;rāk-p-; rākt-) to cause to rub together, wear by friction			rāpka	0:			dedr				d228	d228	d228	d228	reflex	0	S. Dravidian II	1	
f_37pzhlkx3bqaq	Kui	mrāpka (&lt; mrāk-p-; mrākt-)	to lose, obliterate; losing, obliterating			mrāpka (&lt; mrāk-p-; mrākt-)	0:		noun	dedr				d4760	d4760	d4760	d4760	reflex	0	S. Dravidian II	1	
f_3lhbndvrgufww	Kui	kūpka (&lt; kūkp-; kūkt-)	to shout, hail, call aloud; a shout			kūpka (&lt; kūkp-; kūkt-)	0:		noun	dedr				d1868	d1868	d1868	d1868	reflex	0	S. Dravidian II	1	
f_3o5nmdtypifz2	Kui	lepka	(&lt;lek-p-; lekt-)to break, snap off, strike a bargain; act of breaking			lepka	0:		noun	dedr				d5200	d5200	d5200	d5200	reflex	0	S. Dravidian II	1	nonapical-control
f_3y4ju3dgej3a6	Kui	ḍipka	(&lt;ḍik-p-; ḍikt-)to kill, slay, murder; murder			ḍipka	0:		noun	dedr				d2955	d2955	d2955	d2955	reflex	0	S. Dravidian II	1	nonapical-control
f_563uyklearbyy	Kui	gunḍis kopka	to squat, sit on the heels (forkopka, see 1628). DEDS 236			gunḍis kopka	0:			dedr				d1691	d1691	d1691	d1691	reflex	0	S. Dravidian II	1	short-vowel-apical;postapical-cluster
f_5d6iutnr7yz44	Kui	nōṇu	string, cord made from a forest climbing plant			nōṇu	0:			dedr				d2908	d2908	d2908	d2908	reflex	0	S. Dravidian II	1	long-vowel-apical-control
f_5dz4bkfwnjsf4	Kui	srapka (&lt; srak-p-; srakt-)	to be brackish			srapka (&lt; srak-p-; srakt-)	0:			dedr				d2363	d2363	d2363	d2363	reflex	0	S. Dravidian II	1	
f_5i3fgvjaw2ryk	Manda	kabga	to vomit			kabga-	0:		intensive	dedr				d1079	d1079	d1079	d1079	reflex	0	S. Dravidian II	1	nonapical-control
f_5oxdbblrif6gi	Kuwi	hūpkinai	to vomit			hūpkinai	0:			dedr				d3323	d3323	d3323	d3323	reflex	0	S. Dravidian II	1	
