Language_ID	Family_ID	Observed_State	Record_IDs
Kui	d325	D	f_2shiah6khbeyq
Kui	d228	D	f_2vphnxjlhsbli
Kui	d4760	D	f_37pzhlkx3bqaq
Kui	d1868	D	f_3lhbndvrgufww
Kui	d5200	D	f_3o5nmdtypifz2
Kui	d2955	D	f_3y4ju3dgej3a6
Kui	d2363	D	f_5dz4bkfwnjsf4
Kui	d5180	D	f_7mmbwmoolt3gs
Kui	d3339	D	f_7rze6k5rcztvq
Kui	d4975	D	f_7wr5b6lzlmmms
Kui	d3714	D	f_a6wowa7sc5wkq
Kui	d5519	D	f_bzzp2cg5za254
Kui	d3439	D	f_c7zutuml3qcuw
Kui	d3962	D	f_d46mmvltgn4ao
Kui	d4423	D	f_db4jy7jyupb46
Kui	d2260	D	f_dmvxrc66ml2gc
Kui	d1080	D	f_ds72snylx7xny
Kui	d1851	D	f_e5qvybvkyc5c4;f_idpodt7nvllg4
Kui	d931	D	f_ej6yqr6zxl3iy
Kui	d2654	D	f_ejxzdnny5tjf6
Kui	d4152	D	f_eqez2oit4olfu;f_htpsvjf6iscgg
Kui	d3665	D	f_evjbstf4h4l2a
Kui	d3514	D	f_exaq32y35n4sq
Kui	d859	D	f_fagiavp6euxmy
Kui	d240	D	f_ffthrj4v74uj4
Kui	d520	D	f_fj4accsqwye66
Kui	d2800	D	f_forp7syckxzsa
Kui	d5334	D	f_ftfwofn4hon26
Kui	d3482	D	f_g4fwvnxfj45iw
Kui	d1817	D	f_gvalmquq3u7hu
Kui	d2557	D	f_hctegq7pigchg
Kui	d3808	D	f_hfquv2hdpumui
Kui	d710	D	f_hkbi2vxi6hfw4
Kui	d4235	D	f_i4oxp3x7orv7k
Kui	d2180	D	f_ltg46ziaghap6
Kui	d5432	D	f_m7xll75wz7coy
Kui	d3783	D	f_mkjsnqeyhyxs6
Kui	d4008	D	f_mokpx7pejfih4
Kui	d3430	D	f_nejhxq2rpazpw
Kui	d4470	D	f_nkzumj4yvchew
Kui	d4891	D	f_ns7d6ejltzbu6
Kui	d3451	D	f_nwtr7qwnhvbia
Kui	d4761	D	f_odg4kc4xbuvsu
Kui	d874	D	f_olnyja7rvv3gy
Kui	d757	D	f_pjozm4xuvtthk
Kui	d5002	D	f_qhot7vlbdc3mu
Kui	d3359	D	f_qu7uboe3kue5i
Kui	d5411	D	f_qwsgre2k35ii2
Kui	d2585	D	f_sd7olgoxg7rjw
Kui	d4414	D	f_sw2cr3tc2oi7w
Kui	d5522	D	f_t2kjdhlradz3m
Kui	d2136	D	f_t7ubeua3g2o3y
Kui	d715	D	f_tjcebrjvs5vmg
Kui	d3376	D	f_ty4mtcfbwoiuq;f_wtcdjnx4wmtsq
Kui	d4870	D	f_uiwvufb4jbbli
Kui	d706	D	f_vwqpdtyxba5aw
Kui	d5363	D	f_x5ut4227rr6v2
Kui	d1628	D	f_yb2hf7hg3kv2y
Kui	d1980	D	f_zec6tdhg4tmzu
Kui	d4194	D	f_zkmyxy3xxs4hm
Kui	d1349	D	f_zzapu56xn4mei
Kuwi	d1628	D	f_azxiuawfg7ieo
Kuwi	d1080	possible-R	f_qoztnu46jjrho
Kuwi	d766	D	f_wrglyexxvikvs
Pengo	d2804	D	f_64cwfkd4pln3y
Pengo	d1079	D	f_dh3te37yrt2fe
Pengo	d809	D	f_dprnsutprxa5k;f_iski53l7zilry
Pengo	d3253	D	f_qgvjdtv2ttoyg
Manda	d1079	D	f_5i3fgvjaw2ryk
Manda	d3570	D	f_qjdj2voohgwei
