mode,concept,score,band,dardic_family_id,plains_family_id,dardic_age,plains_age,age_order
entry,NOSE,0.853646,High: ≥0.6,7031,6909,Epic,Reconstructed only,At least one undated
entry,PARROT,0.808333,High: ≥0.6,12245,12503,Undated OIA,Early-Vedic,At least one undated
entry,YESTERDAY,0.783738,High: ≥0.6,6590,3104,Early-Vedic,Undated OIA,At least one undated
entry,LIVER,0.777473,High: ≥0.6,10394,3103,Undated OIA,Classical,At least one undated
entry,MONKEY,0.775439,High: ≥0.6,9882,11515,Early-Vedic,Epic,Dardic earlier
entry,HIGH,0.766865,High: ≥0.6,1804,1634,Classical,Epic,Plains earlier
entry,IRON,0.75871,High: ≥0.6,4842a,11158,Undated OIA,Early-Vedic,At least one undated
entry,BRIDGE,0.755357,High: ≥0.6,13585,12834,Early-Vedic,Early-Vedic,Same tagged era
entry,MOUSTACHE,0.74697,High: ≥0.6,9083,10180,Reconstructed only,Undated OIA,At least one undated
entry,UNRIPE,0.724242,High: ≥0.6,1236,2613,Early-Vedic,Reconstructed only,At least one undated
entry,SAND,0.719907,High: ≥0.6,13386,11580,Early-Vedic,Epic,Dardic earlier
entry,OWN,0.705769,High: ≥0.6,5766,1135,Early-Vedic,Early-Vedic,Same tagged era
entry,BLACK,0.693895,High: ≥0.6,3451,3083,Early-Vedic,Epic,Dardic earlier
entry,LONG,0.676728,High: ≥0.6,6368,10951,Early-Vedic,Epic,Dardic earlier
entry,CAT,0.676136,High: ≥0.6,8298,9237,Reconstructed only,Epic,At least one undated
entry,FLOWER,0.672905,High: ≥0.6,8306,9092,Early-Vedic,Epic,Dardic earlier
entry,SAW,0.670909,High: ≥0.6,6518,2795,Early-Vedic,Classical,Dardic earlier
entry,FROG,0.666667,High: ≥0.6,9746,12159,Undated OIA,Early-Vedic,At least one undated
entry,UNCOOKED RICE,0.666667,High: ≥0.6,5637,4749,Early-Vedic,Reconstructed only,At least one undated
entry,WOOL,0.666667,High: ≥0.6,7638,2424,Early-Vedic,Early-Vedic,Same tagged era
entry,FIRE,0.6525,High: ≥0.6,125,55,Early-Vedic,Undated OIA,At least one undated
entry,WATER,0.650568,High: ≥0.6,1921,8082,Undated OIA,Epic,At least one undated
entry,BE ALIVE,0.647436,High: ≥0.6,5244,5241,Undated OIA,Early-Vedic,At least one undated
entry,BEAR,0.629942,High: ≥0.6,2445,9415,Early-Vedic,Epic,Dardic earlier
entry,TIE,0.626068,High: ≥0.6,4353,9139,Epic,Epic,Same tagged era
entry,SNAKE,0.625149,High: ≥0.6,5110,13271,Early-Vedic,Early-Vedic,Same tagged era
entry,CLOUD,0.610937,High: ≥0.6,549,11567,Early-Vedic,Undated OIA,At least one undated
entry,MOUSE,0.610119,High: ≥0.6,10258,4899,Early-Vedic,Reconstructed only,At least one undated
entry,RIGHT,0.60636,High: ≥0.6,6119,6251,Early-Vedic,Undated OIA,At least one undated
entry,YEAR,0.599418,Middle: 0.4–<0.6,3084,11392,Early-Vedic,Early-Vedic,Same tagged era
entry,ANT,0.596955,Middle: 0.4–<0.6,8201,4822,Early-Vedic,Reconstructed only,At least one undated
entry,READ,0.592857,Middle: 0.4–<0.6,9837,7712,Early-Vedic,Early-Vedic,Same tagged era
entry,HONEY,0.591667,Middle: 0.4–<0.6,9989,9784,Classical,Early-Vedic,Plains earlier
entry,SOUR,0.589683,Middle: 0.4–<0.6,4850,3777,Classical,Undated OIA,At least one undated
entry,CURVED,0.586667,Middle: 0.4–<0.6,3533,5474,Reconstructed only,Undated OIA,At least one undated
entry,DOOR,0.585283,Middle: 0.4–<0.6,6651,6459,Reconstructed only,Reconstructed only,At least one undated
entry,ROOT,0.576096,Middle: 0.4–<0.6,7047,5086,Early-Vedic,Early-Vedic,Same tagged era
entry,WORK (LABOUR),0.572222,Middle: 0.4–<0.6,2892,3078,Early-Vedic,Undated OIA,At least one undated
entry,BARKING,0.57,Middle: 0.4–<0.6,10714,9265,Early-Vedic,Epic,Dardic earlier
entry,ASK (INQUIRE),0.569444,Middle: 0.4–<0.6,3929,8352,Reconstructed only,Early-Vedic,At least one undated
entry,WOUND,0.566919,Middle: 0.4–<0.6,8906,4460,Epic,Epic,Same tagged era
entry,HOUSE,0.565041,Middle: 0.4–<0.6,4336,4428,Early-Vedic,Undated OIA,At least one undated
entry,BLIND,0.564912,Middle: 0.4–<0.6,12717,385,Reconstructed only,Early-Vedic,At least one undated
entry,WINTER,0.563214,Middle: 0.4–<0.6,14164,12486,Early-Vedic,Classical,Dardic earlier
entry,BEAN,0.5625,Middle: 0.4–<0.6,10685,12445,Undated OIA,Classical,At least one undated
entry,GRASSHOPPER,0.559091,Middle: 0.4–<0.6,12345,7721,Reconstructed only,Early-Vedic,At least one undated
entry,PATH,0.555886,Middle: 0.4–<0.6,7785,4009,Early-Vedic,Early-Vedic,Same tagged era
entry,DAUGHTER,0.553853,Middle: 0.4–<0.6,6481,9238,Early-Vedic,Reconstructed only,At least one undated
entry,THIS,0.553704,Middle: 0.4–<0.6,587,2530,Undated OIA,Early-Vedic,At least one undated
entry,COLUMN,0.547576,Middle: 0.4–<0.6,13774,13682,Early-Vedic,Early-Vedic,Same tagged era
