concept_id,concept,score,legacy_coverage_score,support_factor,dardic_positive_votes,plains_positive_votes,separation,eligible,dardic_family_id,dardic_family,plains_family_id,plains_family,dardic_linked,plains_linked,dardic_observed,plains_observed,dardic_coverage,plains_coverage,dardic_own,plains_own,dardic_cross,plains_cross,legacy_rank,rank
1221,NOSE,0.853646,0.523465,1,15.5,29.833333333333332,0.853646,True,7031,nasta,6909,*nakka,20,32,23,74,0.8695652173913043,0.43243243243243246,0.775,0.9322916666666666,0,0,10,1
882,PARROT,0.808333,0.26903,1,5.0,9.5,0.808333,True,12245,śakuná,12503,śúka,6,10,15,13,0.4,0.7692307692307693,0.8333333333333334,0.95,0.16666666666666666,0,156,2
1174,YESTERDAY,0.783738,0.547576,1,12.0,36.5,0.783738,True,6590,dōṣā́,3104,kālya,19,39,22,69,0.8636363636363636,0.5652173913043478,0.631578947368421,0.9358974358974359,0,0,8,3
1224,LIVER,0.777473,0.281556,1,5.5,11.0,0.777473,True,10394,yákr̩t,3103,kālēyaka,7,13,17,20,0.4117647058823529,0.65,0.7857142857142857,0.8461538461538461,0,0.07692307692307693,145,4
1350,MONKEY,0.775439,0.444591,1,8.5,33.83333333333333,0.775439,True,9882,markáṭa,11515,vānara,10,38,17,68,0.5882352941176471,0.5588235294117647,0.85,0.8903508771929823,0.15,0.039473684210526314,32,5
1265,HIGH,0.766865,0.44903,1,8.166666666666666,12.333333333333334,0.766865,True,1804,*uttʰala,1634,ucca,12,14,14,35,0.8571428571428571,0.4,0.6805555555555555,0.880952380952381,0.027777777777777776,0,31,6
621,IRON,0.75871,0.485373,1,12.5,9.45,0.75871,True,4842a,cīmara,11158,lōhá,13,17,15,36,0.8666666666666667,0.4722222222222222,0.9615384615384616,0.5558823529411764,0,0,21,7
1011,BRIDGE,0.755357,0.364872,0.9,13.0,4.5,0.839286,True,13585,sḗtu,12834,saṁkramá,14,6,16,10,0.875,0.6,0.9285714285714286,0.75,0,0,67,8
1165,MOUSTACHE,0.74697,0.565391,1,8.0,11.5,0.74697,True,9083,*pʰuŋga,10180,*muccʰā,11,15,16,18,0.6875,0.8333333333333334,0.7272727272727273,0.7666666666666667,0,0,5,9
1958,UNRIPE,0.724242,0.671391,1,8.5,11.5,0.724242,True,1236,āmá,2613,*kacca,11,15,12,16,0.9166666666666666,0.9375,0.7727272727272727,0.7666666666666667,0.09090909090909091,0,3,10
671,SAND,0.719907,0.485795,1,17.0,15.833333333333332,0.719907,True,13386,síkatā,11580,vālukā,17,36,21,64,0.8095238095238095,0.5625,1.0,0.43981481481481477,0,0,20,11
684,OWN,0.705769,0.672925,1,8.0,9.5,0.705769,True,5766,tā́nva,1135,ātmán,13,10,13,11,1.0,0.9090909090909091,0.6153846153846154,0.95,0.15384615384615385,0,1,12
