chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-asymmetric,SAND,SAND,bate1261,dardic,34.95,72.92,bhatr,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,brok1247,dardic,34.53,76.6,bro,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,chil1275,dardic,35.25,73.33,Chil,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,dame1241,dardic,35.3,71.68,Dm,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,gawa1247,dardic,35.2,71.54,Gaw,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,gowr1239,dardic,35.1243,73.1233,Gowro,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,gran1245,dardic,34.65,70.73,Gng,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,indu1241,dardic,35.34,73.02,Mai,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,kala1372,dardic,35.64,71.67,Kal,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,kala1373,dardic,35.53,72.57,Bshk,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,kalk1245,dardic,35.41,72.17,Kalk,"[""síkatā"", ""Other resolved families"", ""No included family""]","[0.0, 0.0, 1]",
dardic-asymmetric,SAND,SAND,kash1277,dardic,34.17,74.33,K,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,khow1242,dardic,36.0,72.0,Kho,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,kund1257,dardic,34.56,73.83,Kund,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,nort2666,dardic,34.66,70.43,Pas,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,phal1254,dardic,35.51,71.84,Phal,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,savi1242,dardic,35.3,71.56,Sv,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,shin1264,dardic,34.65,75.29,Sh,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
dardic-asymmetric,SAND,SAND,shum1235,dardic,34.48,70.57,Shum,"[""síkatā"", ""Other resolved families"", ""No included family""]","[1.0, 0.0, 0.0]",13386
