mode,concept,score,band,diagnostic,separation,support_factor,dardic_own,plains_own,crossover,dardic_family,plains_family
entry,NOSE,0.853646,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.853646,1,0.775,0.9322916666666666,0,nasta,*nakka
entry,PARROT,0.808333,High: ≥0.6,"Supported, crossover >10 points",0.808333,1,0.8333333333333334,0.95,0.16666666666666666,śakuná,śúka
entry,YESTERDAY,0.783738,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.783738,1,0.631578947368421,0.9358974358974359,0,dōṣā́,kālya
entry,LIVER,0.777473,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.777473,1,0.7857142857142857,0.8461538461538461,0.07692307692307693,yákr̩t,kālēyaka
entry,MONKEY,0.775439,High: ≥0.6,"Supported, crossover >10 points",0.775439,1,0.85,0.8903508771929823,0.1894736842105263,markáṭa,vānara
entry,HIGH,0.766865,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.766865,1,0.6805555555555555,0.880952380952381,0.027777777777777776,*uttʰala,ucca
entry,IRON,0.75871,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.75871,1,0.9615384615384616,0.5558823529411764,0,cīmara,lōhá
entry,BRIDGE,0.755357,High: ≥0.6,Focal support below five votes,0.839286,0.9,0.9285714285714286,0.75,0,sḗtu,saṁkramá
entry,MOUSTACHE,0.74697,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.74697,1,0.7272727272727273,0.7666666666666667,0,*pʰuŋga,*muccʰā
entry,UNRIPE,0.724242,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.724242,1,0.7727272727272727,0.7666666666666667,0.09090909090909091,āmá,*kacca
entry,SAND,0.719907,High: ≥0.6,"Supported, low crossover, weaker-side share <50%",0.719907,1,1.0,0.43981481481481477,0,síkatā,vālukā
entry,OWN,0.705769,High: ≥0.6,"Supported, crossover >10 points",0.705769,1,0.6153846153846154,0.95,0.15384615384615385,tā́nva,ātmán
entry,RAW,0.702652,High: ≥0.6,"Supported, crossover >10 points",0.702652,1,0.7361111111111112,0.7878787878787878,0.11868686868686869,āmá,*kacca
entry,BLACK,0.693895,High: ≥0.6,"Supported, crossover >10 points",0.693895,1,0.6041666666666667,0.8961240310077518,0.1125,kr̩ṣṇá,kāla
entry,LONG,0.676728,High: ≥0.6,"Supported, crossover >10 points",0.676728,1,0.875,0.6991869918699187,0.2207317073170732,dīrgʰá,lamba
entry,CAT,0.676136,High: ≥0.6,"Supported, crossover >10 points",0.676136,1,0.8181818181818182,0.6875,0.1534090909090909,*puśśī,bíḍāla
entry,FLOWER,0.672905,High: ≥0.6,"Supported, low crossover, weaker-side share <50%",0.672905,1,0.4427083333333333,0.9031007751937984,0,púṣya,pʰulla
entry,SAW,0.670909,High: ≥0.6,Focal support below five votes,0.745455,0.9,0.9,0.5909090909090909,0,dr̩ṣṭá,karapattra
entry,FROG,0.666667,High: ≥0.6,"Supported, low crossover, weaker-side share <50%",0.666667,1,0.875,0.4583333333333333,0,maṇḍū́ka,vyàŋga
entry,UNCOOKED RICE,0.666667,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.666667,1,0.8333333333333334,0.5357142857142857,0.03571428571428571,taṇḍulá,*cāmala
entry,WOOL,0.666667,High: ≥0.6,"Supported, crossover >10 points",0.666667,1,0.5909090909090909,0.8555555555555555,0.11313131313131314,pákṣman,ū́rṇā
entry,FIRE,0.6525,High: ≥0.6,"Supported, low crossover, weaker-side share <50%",0.6525,1,0.8916666666666668,0.4258333333333334,0.0125,áŋgāra,agní
entry,WATER,0.650568,High: ≥0.6,"Supported, crossover >10 points",0.650568,1,0.6363636363636364,0.8238636363636364,0.1590909090909091,udaká,pānī́ya
entry,BE ALIVE,0.647436,High: ≥0.6,"Supported, crossover >10 points",0.647436,1,0.8461538461538461,0.6025641025641025,0.15384615384615385,jīvantá,jī́vati
entry,BEAR,0.629942,High: ≥0.6,"Supported, low crossover, both shares ≥50%",0.629942,1,0.7424242424242423,0.5650793650793651,0.047619047619047616,ŕ̩kṣa,bʰallū́ka
