head_id,family_id,head,family,rule
10005-2,10005,*mātuḣṣvasr̩kāputra,*mātuḣṣvasr̩putra,explicitly linked numbered CDIAL subhead
10019-2,10019,*mātr̩gōtrika,mātr̩gōtra,explicitly linked numbered CDIAL subhead
10023-2,10023,mātra,mā́trā,explicitly linked numbered CDIAL subhead
10030-2,10030,*mādya,*māda,explicitly linked numbered CDIAL subhead
10030-3,10030,*mādiya,*māda,explicitly linked numbered CDIAL subhead
10078-2,10078,mārgyā,mārgya,explicitly linked numbered CDIAL subhead
10085-2,10085,mārttika,*mārtta,explicitly linked numbered CDIAL subhead
10090-2,10090,mālavīya,mālava,explicitly linked numbered CDIAL subhead
10112-2,10112,*māhārgʰiya,*māhārgʰya,explicitly linked numbered CDIAL subhead
10116-2,10116,*māhiya,*māhya,explicitly linked numbered CDIAL subhead
10117-2,10117,*mēŋga-,*mikkara,explicitly linked numbered CDIAL subhead
10117-3,10117,*mēŋgana,*mikkara,explicitly linked numbered CDIAL subhead
10120-2,10120,*miṇḍa,*miḍḍa,explicitly linked numbered CDIAL subhead
10120-3,10120,*miṇḍʰa-,*miḍḍa,explicitly linked numbered CDIAL subhead
10120-4,10120,*mēṭṭa-,*miḍḍa,explicitly linked numbered CDIAL subhead
10120-5,10120,*mēṇḍa-,*miḍḍa,explicitly linked numbered CDIAL subhead
10120-6,10120,*mēṇḍʰa-,*miḍḍa,explicitly linked numbered CDIAL subhead
10121-2,10121,*mikka,mita,explicitly linked numbered CDIAL subhead
10122-2,10122,middʰa,*mitta,explicitly linked numbered CDIAL subhead
10122-3,10122,mindā́,*mitta,explicitly linked numbered CDIAL subhead
10122-4,10122,*mindʰa,*mitta,explicitly linked numbered CDIAL subhead
10122-5,10122,*mindʰara,*mitta,explicitly linked numbered CDIAL subhead
10122-6,10122,*mīna-,*mitta,explicitly linked numbered CDIAL subhead
10122-7,10122,*mēdda,*mitta,explicitly linked numbered CDIAL subhead
1013-2,1013,*ākkara,*ākkaḍa,explicitly linked numbered CDIAL subhead
10133-2,10133,*miḍati,miláti,explicitly linked numbered CDIAL subhead
10137-2,10137,miśrāpayati,miśrayati,explicitly linked numbered CDIAL subhead
10137-3,10137,miśrita,miśrayati,explicitly linked numbered CDIAL subhead
10146-2,10146,mukura,mukula,explicitly linked numbered CDIAL subhead
10146-3,10146,*bakula-,mukula,explicitly linked numbered CDIAL subhead
