ID,Language_ID,Form,Gloss,Tags,entry_family_id
1,Indo-Aryan,a,,pron,1
100,Indo-Aryan,aŋká,"hook; hip where children are carried; curved line, mark, sign",m RV Br̥ĀrUp R Early-Vedic Epic,100
100-2x,Indo-Aryan,*aŋkaṭa-,"hook; hip where children are carried; curved line, mark, sign",ext:ṭa,100-2x
10000,Indo-Aryan,mātaŋga,man of the lowest caste,m Daś Classical,10000
10001,Indo-Aryan,mātuḣṣvasr̩,mother's sister,f Pāṇ Epic,10001
10005,Indo-Aryan,*mātuḣṣvasr̩putra,mother's sister's child,,10005
10005-2,Indo-Aryan,*mātuḣṣvasr̩kāputra,,,10005
10008,Indo-Aryan,*māturta,mother's brother,,10008
10009,Indo-Aryan,mātulá,mother's brother,m Gr̥S Early-Vedic,10009
1001,Indo-Aryan,ākarṇayati,listens to,R Epic,1001
10016,Indo-Aryan,mātŕ̩,mother,f RV Early-Vedic,10016
10019,Indo-Aryan,mātr̩gōtra,mother's family; belonging to it,n adj MW,10019
10019-2,Indo-Aryan,*mātr̩gōtrika,,,10019
10022,Indo-Aryan,*mātr̩tarā,stepmother,,10022
10022a,Indo-Aryan,mātr̩ṣvasēya,mother's sister's son,m R Epic,10022a
10023,Indo-Aryan,mā́trā,measure; minute portion,f RV ŚBr Early-Vedic,10023
10023-2,Indo-Aryan,mātra,"having the measure of, only",KātyŚr Early-Vedic,10023
10024,Indo-Aryan,*mātrēya,maternal,,10024
10024-2,Indo-Aryan,*mātrēyar-,maternal,ext:r,10024-2
10026,Indo-Aryan,mātsyiká,fisherman,Pāṇ Epic,10026
10027,Indo-Aryan,mātʰa,destruction; churning,m Śatr lex Medieval,10027
1003,Indo-Aryan,ākalayati,"binds; observes, reckons",Śiś BhP Classical Medieval,1003
10030,Indo-Aryan,*māda,curds,,10030
10030-2,Indo-Aryan,*mādya,,,10030
10030-3,Indo-Aryan,*mādiya,,,10030
10032,Indo-Aryan,mā́dyati,"exults, is intoxicated",RV Early-Vedic,10032
10035,Indo-Aryan,mādʰurī,"sweetness, wine",f Kāv Classical,10035
10038,Indo-Aryan,*mādʰyānta,of midday,,10038
10039,Indo-Aryan,*mādʰyāhnaka,of midday,,10039
10040,Indo-Aryan,mā́na,"wish; pride; honour; wounded honour, anger",AitBr KauṣUp Mn Kāv Early-Vedic Epic Classical,10040
10041,Indo-Aryan,mā́na,"measure, standard",RV Early-Vedic,10041
10042,Indo-Aryan,mā́na,"house, dwelling",RV Early-Vedic,10042
10044,Indo-Aryan,*māna,skin-bag,,10044
10047,Indo-Aryan,mānáyati,"esteems, honours",AV Early-Vedic,10047
10048,Indo-Aryan,mānavá,human; man,f,10048
10049,Indo-Aryan,mā́nuṣa,human; man,f,10049
10050,Indo-Aryan,māntrika,"reciter of spells, sorcerer",m Rājat Medieval,10050
10053,Indo-Aryan,māpya,not to be measured,,10053
10054,Indo-Aryan,*māpyatē,is measured,,10054
10055,Indo-Aryan,māma,uncle,m Pañcat Classical,10055
10056,Indo-Aryan,māmaká,mine,RV Early-Vedic,10056
10058,Indo-Aryan,*māmikā,mother,,10058
10059,Indo-Aryan,mā́yatē,measures,,10059
1006,Indo-Aryan,ākārayati,calls near,MBh Epic,1006
10060,Indo-Aryan,māyā́,"supernatural power, skill; illusion; fraud, compassion",f RV ŚBr lex Early-Vedic,10060
10063,Indo-Aryan,māra,death; killing,m VarBr̥S Rājat Classical Medieval,10063
10064,Indo-Aryan,māraka,killing,Kathās Medieval,10064
10065,Indo-Aryan,mā́raṇa,killing,n MaitrS Early-Vedic,10065
10066,Indo-Aryan,māráyati,kills,AV Early-Vedic,10066
10067a,Indo-Aryan,mā́ruka,dying,TS Early-Vedic,10067a
10069,Indo-Aryan,mārkaṭa,monkey-like,Kathās Medieval,10069
10071,Indo-Aryan,mārga,"track, road",m Mn Epic,10071
10073,Indo-Aryan,mārgaṇa,asking; beggar,MBh Rājat Epic Medieval,10073
10074,Indo-Aryan,mā́rgati,"seeks, requests",MBh Epic,10074
10075,Indo-Aryan,*mārgayitr̩,wooer,,10075
10078,Indo-Aryan,mārgya,to be sought,W,10078
10078-2,Indo-Aryan,mārgyā,,f,10078
10079,Indo-Aryan,mārja,"cleaning; act of cleaning, washerman",m lex,10079
1008,Indo-Aryan,ākāśá,sky,m ŚBr Early-Vedic,1008
10080,Indo-Aryan,mārjati,"wipes off, destroys",RV MBh Early-Vedic Epic,10080
10081,Indo-Aryan,mārjana,"wiping off, cleaning",n Gr̥Śr Early-Vedic,10081
10082,Indo-Aryan,mārjārá,cat,Mn Epic,10082
10084,Indo-Aryan,*mārjārarūpa,cat,,10084
10085,Indo-Aryan,*mārtta,earthen,,10085
10085-2,Indo-Aryan,mārttika,earthen; lump of earth; earthen pot,MānŚr Bhām Gr̥Śr Early-Vedic,10085
10086,Indo-Aryan,mā́rtsna,finely ground,ŚBr Early-Vedic,10086
10088,Indo-Aryan,māla,forest near a village,n Kauṭ Epic,10088
1009,Indo-Aryan,*ākāśiya,of the sky,,1009
10090,Indo-Aryan,mālava,name of a country,m,10090
10090-2,Indo-Aryan,mālavīya,relating to that country,Kathās Medieval,10090
10092,Indo-Aryan,mā́lā,"wreath, garland",f Gr̥S Early-Vedic,10092
10095,Indo-Aryan,mālya,garland,n Gr̥Śr Early-Vedic,10095
10098,Indo-Aryan,māṣa,a partic. weight of gold; a copper coin,,10098
101,Indo-Aryan,*aŋkakāra,act of marking,m,101
10103,Indo-Aryan,māṣya,fit for beans; field of beans,W,10103
10104,Indo-Aryan,mā́sa,"moon, month",m RV Early-Vedic,10104
10112,Indo-Aryan,*māhārgʰya,dearness,,10112
10112-2,Indo-Aryan,*māhārgʰiya,,,10112
10114,Indo-Aryan,*māhiṣagavya,coming from buffaloes and cows,,10114
10116,Indo-Aryan,*māhya,pertaining to buffaloes,,10116
10116-2,Indo-Aryan,*māhiya,,,10116
10117,Indo-Aryan,*mikkara,lump,,10117
10117-2,Indo-Aryan,*mēŋga-,,,10117
10117-3,Indo-Aryan,*mēŋgana,,,10117
10118,Indo-Aryan,*micc,"close the eyes, blink",,10118
10118-2,Indo-Aryan,*miccakk-,"close the eyes, blink",ext:kk,10118-2
10119,Indo-Aryan,*miṭṭ,close the eyes,,10119
1012,Indo-Aryan,ākula,"confused; filled with, crowded",MBh R Epic,1012
10120,Indo-Aryan,*miḍḍa,defective,,10120
10120-2,Indo-Aryan,*miṇḍa,,,10120
10120-3,Indo-Aryan,*miṇḍʰa-,,,10120
10120-4,Indo-Aryan,*mēṭṭa-,,,10120
10120-5,Indo-Aryan,*mēṇḍa-,,,10120
10120-6,Indo-Aryan,*mēṇḍʰa-,,,10120
10121,Indo-Aryan,mita,measured,Pāṇ Epic,10121
10121-2,Indo-Aryan,*mikka,measured,replaced,10121
10122,Indo-Aryan,*mitta,defective,,10122
10122-2,Indo-Aryan,middʰa,drowsiness,n,10122
10122-3,Indo-Aryan,mindā́,"bodily defect, blemish",f TS Early-Vedic,10122
10122-4,Indo-Aryan,*mindʰa,,,10122
10122-5,Indo-Aryan,*mindʰara,,,10122
10122-6,Indo-Aryan,*mīna-,,,10122
10122-7,Indo-Aryan,*mēdda,penis,BhP AV Medieval Early-Vedic,10122
10123,Indo-Aryan,mitya,*to be measured,Rājat Medieval,10123
10124,Indo-Aryan,mitrá,friend; friendship; friend,m RV TS Early-Vedic,10124
10126,Indo-Aryan,mitratvá,friendship,n TS Early-Vedic,10126
10127,Indo-Aryan,mitríya,friendly,,10127
10128,Indo-Aryan,*mitʰati,"opposes, quarrels with",RV Early-Vedic,10128
10129,Indo-Aryan,*mitʰana,"opposing, quarreling with",,10129
1013,Indo-Aryan,*ākkaḍa,"cramped, stiff",,1013
1013-2,Indo-Aryan,*ākkara,"cramped, stiff",sound-variant,1013
10130,Indo-Aryan,mitʰyā́,"invertedly, wrongly; falsely; in vain",ŚBr Mn MaitrUp Early-Vedic Epic,10130
10132,Indo-Aryan,*mināti,measures,,10132
10133,Indo-Aryan,miláti,"meets, encounters",Kathās Medieval,10133
10133-2,Indo-Aryan,*miḍati,,,10133
10134,Indo-Aryan,milana,meeting,n,10134
10135,Indo-Aryan,miśrá,mixed,RV Early-Vedic,10135
10137,Indo-Aryan,miśrayati,mixes,KātyŚr Early-Vedic,10137
10137-2,Indo-Aryan,miśrāpayati,,Vop Medieval,10137
10137-3,Indo-Aryan,miśrita,mixed,MBh Epic,10137
10137-4,Indo-Aryan,*misrayayati,mixes,caus,10137-4
10139,Indo-Aryan,*miṣṭa,mixed,,10139
1014,Indo-Aryan,*ākkira,"dear, costly",,1014
10142,Indo-Aryan,mī́yatē,diminishes,RV Early-Vedic,10142
10144,Indo-Aryan,mukuṭa,"tiara, crest, point, head",m MBh Epic,10144
10146,Indo-Aryan,mukula,bud,n Suśr Classical,10146
10146-2,Indo-Aryan,mukura,,,10146
10146-3,Indo-Aryan,*bakula-,,,10146
10147,Indo-Aryan,mukulayati,*blossoms,,10147
10147-2,Indo-Aryan,*mukurayati,,,10147
10147-3,Indo-Aryan,mukulāyatē,,,10147
10148,Indo-Aryan,mukuṣṭʰa,,,10148
10148-2,Indo-Aryan,*makusta,,,10148
10150,Indo-Aryan,*mukka,blow with fist,,10150
10151,Indo-Aryan,mukta,set free,MBh Epic,10151
10152,Indo-Aryan,muktā,pearl,f Mn Epic,10152
10156,Indo-Aryan,muktvā́,having loosed; except,ŚBr Kāv Early-Vedic Classical,10156
10156-2,Indo-Aryan,*muktuvā,,,10156
10157,Indo-Aryan,*mukna,loosed,,10157
10157-3,Indo-Aryan,*muknal-,loosed,ext:l,10157-3
10158,Indo-Aryan,múkʰa,"mouth, face; entrance",n RV MBh Early-Vedic Epic,10158
10158-2,Indo-Aryan,*mukʰaḍ-,"mouth, face; entrance",ext:ḍ,10158-2
10159,Indo-Aryan,*mukʰakāṣṭʰa,doorframe,,10159
10161,Indo-Aryan,mukʰacandra,moon-like circle of face,m Bhartr̥ Classical,10161
10163,Indo-Aryan,mukʰatuṇḍaka,mouth,m Divyāv Classical,10163
10166,Indo-Aryan,*mukʰanātʰa,chief master,,10166
10167,Indo-Aryan,mukʰará,talkative; leader,Kathās Hit Medieval,10167
10170,Indo-Aryan,mukʰāgra,"extremity of a snout or nose, any extremity",n lex,10170
10174,Indo-Aryan,múkʰya,pertaining to face or mouth; chief,AV TS Early-Vedic,10174
10177,Indo-Aryan,mucalinda,,,10177
10177-2,Indo-Aryan,mucukunda,P. suberifolium,m lex,10177
10178,Indo-Aryan,*mucca,lump,,10178
10179,Indo-Aryan,*muccʰa,defective,,10179
10179-2,Indo-Aryan,*mōccʰa,,,10179
10179-3,Indo-Aryan,*mujja,,,10179
10180,Indo-Aryan,*muccʰā,mustache,,10180
10180-2,Indo-Aryan,mōccʰā,,,10180
10181,Indo-Aryan,mucyátē,is loosed; escapes,AV Early-Vedic,10181
10182,Indo-Aryan,muñcáti,"releases, lets go, loses",RV Early-Vedic,10182
10183,Indo-Aryan,*muñcana,releasing,,10183
10186,Indo-Aryan,muṭáti,*twists,Dhātup Epic,10186
10186-2,Indo-Aryan,mṓṭati,,,10186
10186-3,Indo-Aryan,*mōṭyatē,is twisted,,10186
10186-4,Indo-Aryan,*muruṭati,,,10186
10187,Indo-Aryan,*muṭṭa,defective,,10187
10187-10,Indo-Aryan,*muṇḍʰara,,,10187
10187-11,Indo-Aryan,*mōṭṭa-,,,10187
10187-12,Indo-Aryan,*mōṭṭʰa,,,10187
10187-13,Indo-Aryan,*mōṭṭʰara,,,10187
10187-14,Indo-Aryan,*mōḍḍa,,,10187
10187-15,Indo-Aryan,*mōṇḍa,,,10187
10187-2,Indo-Aryan,*muṭṭʰa-,,,10187
10187-3,Indo-Aryan,*muṭṭʰara,,,10187
10187-4,Indo-Aryan,*muḍa,,,10187
10187-5,Indo-Aryan,*muḍḍa,,,10187
10187-6,Indo-Aryan,*muḍḍʰa,,,10187
10187-7,Indo-Aryan,*muṇṭa,,,10187
10187-8,Indo-Aryan,*muṇṭara,,,10187
10187-9,Indo-Aryan,*muṇḍʰa,,,10187
10188,Indo-Aryan,*muṭṭa,heart,,10188
10189,Indo-Aryan,*muḍḍʰa,lump,,10189
10189-2,Indo-Aryan,*muṇḍa,,,10189
1019,Indo-Aryan,ā́krōśati,cries out at,TS Early-Vedic,1019
1019-2,Indo-Aryan,ākrōśa,calling; abuse,m R Yājñ Epic Classical,1019
1019-3,Indo-Aryan,ākrōśana,scolding,n BHSk,1019
10190,Indo-Aryan,múṇṭati,"crushes, grinds",,10190
