concept_id,concept,group,language_id,language,unit,form_id,form,gloss,head_id,head,family_id,family,status,source
1165,MOUSTACHE,plains,H,Hindi-Urdu,hind1269,f_kybrjj5ob2v5o,मूंछ moonchh,moustache,,,,,unlinked,nihali-provisional2026
1165,MOUSTACHE,plains,A,Assamese,assa1263,f_nbgcdb3yny5bm,gõpʰ,moustache,4203-2,gumpʰa,4203-2,gumpʰa,linked,CDIAL
1165,MOUSTACHE,plains,B,Bengali,beng1280,f_e7j7wvjeibn66,gõpʰ,moustache,4203-2,gumpʰa,4203-2,gumpʰa,linked,CDIAL
1165,MOUSTACHE,plains,B,Bengali,beng1280,f_bqrdkpzvu4pua,gõp,moustache,4203-2,gumpʰa,4203-2,gumpʰa,linked,CDIAL
1165,MOUSTACHE,dardic,Gaw,Gawarbati,gawa1247,f_3ns2xogscivdm,gū́nʦa,moustache,4269,gōccʰā,4269,gōccʰā,linked,CDIAL
1165,MOUSTACHE,dardic,Gaw,Gawarbati,gawa1247,f_pfjsryi2nl522,goᵉnʦá,moustache,4269,gōccʰā,4269,gōccʰā,linked,CDIAL
1165,MOUSTACHE,dardic,Sv,Sauji,savi1242,f_6723bswrgaila,gōcḗ,moustache,4269,gōccʰā,4269,gōccʰā,linked,CDIAL
1165,MOUSTACHE,dardic,K,Kashmiri,kash1277,f_pqesikuhy72jc,gō̃ʦʰ,moustache,4269,gōccʰā,4269,gōccʰā,linked,CDIAL
1165,MOUSTACHE,dardic,K,Kashmiri,kash1277,f_huxocku45aywy,gō̃ʦʰi,moustache,4269,gōccʰā,4269,gōccʰā,linked,CDIAL
1165,MOUSTACHE,plains,A,Assamese,assa1263,f_oy2to6iiq45wi,dā̃ri,"beard, whiskers",6250,*dāṁṣṭra,6250,*dāṁṣṭra,linked,CDIAL
1165,MOUSTACHE,plains,A,Assamese,assa1263,f_j24w2xrzbzs7u,ḍāri,"beard, whiskers",6250,*dāṁṣṭra,6250,*dāṁṣṭra,linked,CDIAL
1165,MOUSTACHE,dardic,Dm,Dameli,dame1241,f_smg2sb7lqpv5w,pʰū̃ka,mustache,9083,*pʰuŋga,9083,*pʰuŋga,linked,CDIAL
1165,MOUSTACHE,dardic,Kal,Indo-Aryan Kalasha,kala1372,f_ihqopuxumkioa,uṣ-pʰuŋ,mustache,9083,*pʰuŋga,9083,*pʰuŋga,linked,CDIAL
1165,MOUSTACHE,dardic,Bshk,Bashkarik,kala1373,f_y7tjxabg4sq7s,pʰuŋ,mustache,9083,*pʰuŋga,9083,*pʰuŋga,linked,CDIAL
1165,MOUSTACHE,dardic,Tor,Torwali,torw1241,f_wouvkbzfhk2vg,pʰuŋ,mustache,9083,*pʰuŋga,9083,*pʰuŋga,linked,CDIAL
1165,MOUSTACHE,dardic,Phal,Palula,phal1254,f_njolcq65ask4y,pʰuŋga,mustache,9083,*pʰuŋga,9083,*pʰuŋga,linked,CDIAL
