concept,group,family_id,family,fractional_votes,share,languages
RAW,dardic,1236,āmá,8.833333333333334,0.7361111111111112,Bashkarik; Dameli; Indo-Aryan Kalasha; Indus Kohistani; Kashmiri; Khowar; Palula; Shina; Shumashti; Tirahi
RAW,dardic,8130,pā́lāśa,2.0,0.16666666666666666,Gawarbati; Sauji
RAW,dardic,1533,āsyà,0.5,0.041666666666666664,Indus Kohistani
RAW,dardic,2613,*kacca,0.3333333333333333,0.027777777777777776,Kashmiri
RAW,dardic,9584,*bʰr̩jjita,0.3333333333333333,0.027777777777777776,Kashmiri
RAW,plains,2613,*kacca,8.666666666666668,0.787878787878788,Awadhi; Bengali; Dhatki; Gujarati; Hindi-Urdu; Kutchi; Maithili; Marathi; Odia; Punjabi; Sindhi
RAW,plains,1236,āmá,1.0,0.09090909090909091,Bengali; Gujarati
RAW,plains,10807,*rūṣṭa,0.3333333333333333,0.0303030303030303,Hindi-Urdu
RAW,plains,14114,*hiru,0.6666666666666666,0.0606060606060606,Hindi-Urdu; Marathi
RAW,plains,724,*allaḍa,0.3333333333333333,0.0303030303030303,Marathi
WOOL,dardic,11549,vā́ra,1.0,0.09090909090909091,Dameli
WOOL,dardic,5086,jáṭā,1.0,0.09090909090909091,Indus Kohistani
WOOL,dardic,11023,*lāyayati,0.5,0.045454545454545456,Indo-Aryan Kalasha
WOOL,dardic,7638,pákṣman,6.5,0.5909090909090909,Bashkarik; Indo-Aryan Kalasha; Khowar; Palula; Shina; Torwali; Ushojo
WOOL,dardic,2424,ū́rṇā,1.0,0.09090909090909091,Kashmiri
WOOL,dardic,11154,lṓman,0.5,0.045454545454545456,Pashai
WOOL,dardic,2438,*ūrṣā,0.5,0.045454545454545456,Pashai
WOOL,plains,2424,ū́rṇā,12.833333333333334,0.8555555555555556,Bengali; Dhatki; Gujarati; Hindi-Urdu; Kamtapuri; Khetrani; Kutchi; Lahnda; Maithili; Odia; Punjabi; Rajbanshi; Sindhi; Surjapuri
WOOL,plains,3156,kiṭṭa,0.3333333333333333,0.02222222222222222,Gujarati
WOOL,plains,7638,pákṣman,0.3333333333333333,0.02222222222222222,Gujarati
WOOL,plains,9301,br̩sī́,1.0,0.06666666666666667,Marathi
WOOL,plains,10851,rṓman,0.5,0.03333333333333333,Odia
MOUSTACHE,dardic,9083,*pʰuŋga,8.0,0.7272727272727273,Bashkarik; Bhateri; Dameli; Indo-Aryan Kalasha; Palula; Shina; Torwali; Ushojo
MOUSTACHE,dardic,4269,gōccʰā,3.0,0.2727272727272727,Gawarbati; Kashmiri; Sauji
MOUSTACHE,plains,6250,*dāṁṣṭra,0.5,0.03333333333333333,Assamese
MOUSTACHE,plains,4203-2,gumpʰa,1.5,0.1,Assamese; Bengali
MOUSTACHE,plains,10180,*muccʰā,10.0,0.6666666666666666,Gujarati; Hindi-Urdu; Hindko; Kamtapuri; Khetrani; Lahnda; Odia; Punjabi; Rajbanshi; Sindhi; Surjapuri
MOUSTACHE,plains,10180-2,mōccʰā,1.5,0.1,Awadhi; Hindi-Urdu
MOUSTACHE,plains,13725,*stōbʰya,0.5,0.03333333333333333,Gujarati
MOUSTACHE,plains,12659,śmáśru,1.0,0.06666666666666667,Konkani
LONG,dardic,6368,dīrgʰá,17.5,0.875,Bashkarik; Brokskat; Chilisso; Dameli; Gawarbati; Indo-Aryan Kalasha; Indus Kohistani; Kalkoti; Kundal Shahi; Palula; Pashai; Sauji; Shina; Shumashti; Tirahi; Torwali; Ushojo; Wotapuri
LONG,dardic,10951,lamba,1.0,0.05,Kashmiri
LONG,dardic,6616,*draŋgʰa,1.0,0.05,Khowar
LONG,dardic,1627,ukṣa,0.5,0.025,Pashai
LONG,plains,6368,dīrgʰá,7.0,0.17073170731707318,Assamese; Hindi-Urdu; Khetrani; Kholosi; Lahnda; Luwati; Maimani; Marwari; Sindhi; Zadjali
LONG,plains,10951,lamba,28.666666666666664,0.6991869918699186,Ahirwadi; Assamese; Bagheli; Bagri; Bhojpuri; Bhuksa Tharu; Braj; Bundeli; Chhattisgarhi; Chitwania Tharu; Dangaura Tharu; Dhundari; Godwari; Gujarati; Hadauti; Hindi-Urdu; Kamtapuri; Kannauji; Lahnda; Maithili; Malvi; Marathi; Marwari; Mewari; Mewati; Morangia Tharu; Odia; Punjabi; Rajbanshi; Rana Tharu; Shahawadi; Shekhawati; Surgujia; Surjapuri; Wagri
LONG,plains,9158,barbara,1.0,0.024390243902439025,Bengali
LONG,plains,11225,vaḍra,1.8333333333333333,0.044715447154471545,Bundeli; Hadauti; Mewari; Shekhawati
LONG,plains,10187,*muṭṭa,1.3333333333333333,0.03252032520325203,Mewari; Rajasthani
LONG,plains,9162,balakara,0.3333333333333333,0.008130081300813007,Punjabi
LONG,plains,9165,*balatara,0.3333333333333333,0.008130081300813007,Punjabi
LONG,plains,5524,*ḍagga,0.5,0.012195121951219513,Kamtapuri
WATER,dardic,8082,pānī́ya,3.5,0.1590909090909091,Bhateri; Dodi; Kashmiri; Kundal Shahi; Poguli; Rambani; Wotapuri
WATER,dardic,1921,udaká,14.0,0.6363636363636364,Bashkarik; Chilisso; Gowro; Indo-Aryan Kalasha; Indus Kohistani; Kalkoti; Khowar; Ningalami; Palula; Sauji; Shina; Shumashti; Tirahi; Torwali; Ushojo
WATER,dardic,407,áp,2.0,0.09090909090909091,Dameli; Gawarbati
WATER,dardic,12485,śītá,0.5,0.022727272727272728,Gowro
WATER,dardic,1799,*uttr̩ṣṇa,0.5,0.022727272727272728,Ningalami
WATER,dardic,13266,sárga,0.5,0.022727272727272728,Kashmiri
WATER,dardic,11556,vā́ri,1.0,0.045454545454545456,Pashai
