concept,group,unit,languages,families,category,unresolved_records,excluded_loan_records
RAW,dardic,dame1241,Dameli,1236,Dardic-associated family only,0,0
RAW,dardic,gawa1247,Gawarbati,8130,Other families only,0,0
RAW,dardic,indu1241,Indus Kohistani,1236;1533,One focal + other families,0,0
RAW,dardic,kala1372,Indo-Aryan Kalasha,1236,Dardic-associated family only,1,0
RAW,dardic,kala1373,Bashkarik,1236,Dardic-associated family only,0,0
RAW,dardic,kash1277,Kashmiri,1236;2613;9584,Both focal families,0,0
RAW,dardic,khow1242,Khowar,1236,Dardic-associated family only,0,0
RAW,dardic,phal1254,Palula,1236,Dardic-associated family only,0,0
RAW,dardic,savi1242,Sauji,8130,Other families only,0,0
RAW,dardic,shin1264,Shina,1236,Dardic-associated family only,2,0
RAW,dardic,shum1235,Shumashti,1236,Dardic-associated family only,0,0
RAW,dardic,tira1253,Tirahi,1236,Dardic-associated family only,0,0
RAW,plains,awad1243,Awadhi,2613,Plains-associated family only,0,0
RAW,plains,beng1280,Bengali,1236;2613,Both focal families,0,0
RAW,plains,dhat1238,Dhatki,2613,Plains-associated family only,0,0
RAW,plains,guja1252,Gujarati,1236;2613,Both focal families,0,0
RAW,plains,hind1269,Hindi-Urdu,10807;14114;2613,One focal + other families,0,0
RAW,plains,kach1277,Kutchi,2613,Plains-associated family only,0,0
RAW,plains,mait1250,Maithili,2613,Plains-associated family only,0,0
RAW,plains,mara1378,Marathi,14114;2613;724,One focal + other families,2,0
RAW,plains,oriy1255,Odia,2613,Plains-associated family only,0,0
RAW,plains,panj1256,Punjabi,2613,Plains-associated family only,0,0
RAW,plains,sind1272,Sindhi,2613,Plains-associated family only,0,0
RAW,plains,vaag1238,Vaagri Boli,,No resolved family,1,0
WOOL,dardic,dame1241,Dameli,11549,Other families only,0,0
WOOL,dardic,gowr1239,Gowro,,No resolved family,2,0
WOOL,dardic,indu1241,Indus Kohistani,5086,Other families only,2,0
WOOL,dardic,kala1372,Indo-Aryan Kalasha,11023;7638,One focal + other families,1,0
WOOL,dardic,kala1373,Bashkarik,7638,Dardic-associated family only,0,0
WOOL,dardic,kash1277,Kashmiri,2424,Plains-associated family only,0,0
WOOL,dardic,khow1242,Khowar,7638,Dardic-associated family only,0,0
