chart,view,concept,unit,group,latitude,longitude,representative_language,categories,values,families
dardic-language-evidence,RAW,RAW,dame1241,dardic,35.3,71.68,Dm,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,gawa1247,dardic,35.2,71.54,Gaw,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",8130
dardic-language-evidence,RAW,RAW,indu1241,dardic,35.34,73.02,Mai,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",1236;1533
dardic-language-evidence,RAW,RAW,kala1372,dardic,35.64,71.67,Kal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,kala1373,dardic,35.53,72.57,Bshk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,kash1277,dardic,34.17,74.33,K,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 1, 0.0, 0.0, 0.0]",1236;2613;9584
dardic-language-evidence,RAW,RAW,khow1242,dardic,36.0,72.0,Kho,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,phal1254,dardic,35.51,71.84,Phal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,savi1242,dardic,35.3,71.56,Sv,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",8130
dardic-language-evidence,RAW,RAW,shin1264,dardic,34.65,75.29,Sh,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,shum1235,dardic,34.48,70.57,Shum,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,tira1253,dardic,34.18,69.59,Tir,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",1236
dardic-language-evidence,RAW,RAW,awad1243,plains,27.59,82.47,Aw,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,beng1280,plains,23.471,88.5565,B,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 1, 0.0, 0.0, 0.0]",1236;2613
dardic-language-evidence,RAW,RAW,dhat1238,plains,26.42,70.78,thar,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,guja1252,plains,22.69,71.1,G,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 1, 0.0, 0.0, 0.0]",1236;2613
dardic-language-evidence,RAW,RAW,hind1269,plains,28.7041,77.1025,H,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",10807;14114;2613
dardic-language-evidence,RAW,RAW,kach1277,plains,23.83,69.0,kcch,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,mait1250,plains,26.38,86.22,Mth,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,mara1378,plains,18.5204,73.8567,M,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",14114;2613;724
dardic-language-evidence,RAW,RAW,oriy1255,plains,21.0,85.0,Or,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,panj1256,plains,30.04,75.67,P,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,sind1272,plains,26.0,69.0,S,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2613
dardic-language-evidence,RAW,RAW,vaag1238,plains,12.21,79.53,VB,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,WOOL,WOOL,dame1241,dardic,35.3,71.68,Dm,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",11549
dardic-language-evidence,WOOL,WOOL,gowr1239,dardic,35.1243,73.1233,Gowro,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 0.0, 1]",
dardic-language-evidence,WOOL,WOOL,indu1241,dardic,35.34,73.02,Mai,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 0.0, 1, 0.0]",5086
dardic-language-evidence,WOOL,WOOL,kala1372,dardic,35.64,71.67,Kal,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 0.0, 0.0, 1, 0.0, 0.0]",11023;7638
dardic-language-evidence,WOOL,WOOL,kala1373,dardic,35.53,72.57,Bshk,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
dardic-language-evidence,WOOL,WOOL,kash1277,dardic,34.17,74.33,K,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[0.0, 1, 0.0, 0.0, 0.0, 0.0]",2424
dardic-language-evidence,WOOL,WOOL,khow1242,dardic,36.0,72.0,Kho,"[""Dardic-associated family only"", ""Plains-associated family only"", ""Both focal families"", ""One focal + other families"", ""Other families only"", ""No resolved family""]","[1, 0.0, 0.0, 0.0, 0.0, 0.0]",7638
