mode,cohort,held_out,concept,target,dardic_family_id,plains_family_id,category,families
entry,Featured seven,False,IRON,Sindhi,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Featured seven,False,IRON,Lahnda,4842a,11158,"Plains family, not Dardic family",11158
entry,Featured seven,False,IRON,Either language,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Featured seven,False,MOUSTACHE,Sindhi,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,False,MOUSTACHE,Lahnda,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,False,MOUSTACHE,Either language,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,False,RAW,Sindhi,1236,2613,"Plains family, not Dardic family",2613
entry,Featured seven,False,RAW,Lahnda,1236,2613,No attestation,
entry,Featured seven,False,RAW,Either language,1236,2613,"Plains family, not Dardic family",2613
entry,Featured seven,False,LONG,Sindhi,6368,10951,"Dardic family, not Plains family",6368
entry,Featured seven,False,LONG,Lahnda,6368,10951,Both focal families,10951;6368
entry,Featured seven,False,LONG,Either language,6368,10951,Both focal families,10951;6368
entry,Featured seven,False,WOOL,Sindhi,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,False,WOOL,Lahnda,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,False,WOOL,Either language,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,False,WATER,Sindhi,1921,8082,"Plains family, not Dardic family",5155;8082
entry,Featured seven,False,WATER,Lahnda,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Featured seven,False,WATER,Either language,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Featured seven,False,RIVER,Sindhi,13415,6943,Other resolved families only,13325
entry,Featured seven,False,RIVER,Lahnda,13415,6943,No attestation,
entry,Featured seven,False,RIVER,Either language,13415,6943,Other resolved families only,13325
entry,Featured seven,True,IRON,Sindhi,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Featured seven,True,IRON,Lahnda,4842a,11158,"Plains family, not Dardic family",11158
entry,Featured seven,True,IRON,Either language,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Featured seven,True,MOUSTACHE,Sindhi,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,True,MOUSTACHE,Lahnda,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,True,MOUSTACHE,Either language,9083,10180,"Plains family, not Dardic family",10180
entry,Featured seven,True,RAW,Sindhi,1236,2613,"Plains family, not Dardic family",2613
entry,Featured seven,True,RAW,Lahnda,1236,2613,No attestation,
entry,Featured seven,True,RAW,Either language,1236,2613,"Plains family, not Dardic family",2613
entry,Featured seven,True,LONG,Sindhi,6368,10951,"Dardic family, not Plains family",6368
entry,Featured seven,True,LONG,Lahnda,6368,10951,Both focal families,10951;6368
entry,Featured seven,True,LONG,Either language,6368,10951,Both focal families,10951;6368
entry,Featured seven,True,WOOL,Sindhi,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,True,WOOL,Lahnda,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,True,WOOL,Either language,7638,2424,"Plains family, not Dardic family",2424
entry,Featured seven,True,WATER,Sindhi,1921,8082,"Plains family, not Dardic family",5155;8082
entry,Featured seven,True,WATER,Lahnda,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Featured seven,True,WATER,Either language,1921,8082,"Plains family, not Dardic family",5155;7552;8082
entry,Featured seven,True,RIVER,Sindhi,13415,6943,Other resolved families only,13325
entry,Featured seven,True,RIVER,Lahnda,13415,6943,No attestation,
entry,Featured seven,True,RIVER,Either language,13415,6943,Other resolved families only,13325
entry,Score ≥0.4,False,NOSE,Sindhi,7031,6909,Other resolved families only,6084
entry,Score ≥0.4,False,NOSE,Lahnda,7031,6909,No included etymology,
entry,Score ≥0.4,False,NOSE,Either language,7031,6909,Other resolved families only,6084
entry,Score ≥0.4,False,PARROT,Sindhi,12245,12503,No attestation,
entry,Score ≥0.4,False,PARROT,Lahnda,12245,12503,No attestation,
entry,Score ≥0.4,False,PARROT,Either language,12245,12503,No attestation,
entry,Score ≥0.4,False,YESTERDAY,Sindhi,6590,3104,"Plains family, not Dardic family",3104
entry,Score ≥0.4,False,YESTERDAY,Lahnda,6590,3104,"Plains family, not Dardic family",3104
entry,Score ≥0.4,False,YESTERDAY,Either language,6590,3104,"Plains family, not Dardic family",3104
entry,Score ≥0.4,False,LIVER,Sindhi,10394,3103,Other resolved families only,10393
entry,Score ≥0.4,False,LIVER,Lahnda,10394,3103,"Plains family, not Dardic family",3103
entry,Score ≥0.4,False,LIVER,Either language,10394,3103,"Plains family, not Dardic family",10393;3103
entry,Score ≥0.4,False,MONKEY,Sindhi,9882,11515,"Plains family, not Dardic family",11515
entry,Score ≥0.4,False,MONKEY,Lahnda,9882,11515,No attestation,
entry,Score ≥0.4,False,MONKEY,Either language,9882,11515,"Plains family, not Dardic family",11515
entry,Score ≥0.4,False,HIGH,Sindhi,1804,1634,No included etymology,
entry,Score ≥0.4,False,HIGH,Lahnda,1804,1634,"Plains family, not Dardic family",1634
entry,Score ≥0.4,False,HIGH,Either language,1804,1634,"Plains family, not Dardic family",1634
entry,Score ≥0.4,False,IRON,Sindhi,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Score ≥0.4,False,IRON,Lahnda,4842a,11158,"Plains family, not Dardic family",11158
entry,Score ≥0.4,False,IRON,Either language,4842a,11158,"Plains family, not Dardic family",11158;6121
entry,Score ≥0.4,False,BRIDGE,Sindhi,13585,12834,No attestation,
entry,Score ≥0.4,False,BRIDGE,Lahnda,13585,12834,No attestation,
entry,Score ≥0.4,False,BRIDGE,Either language,13585,12834,No attestation,
entry,Score ≥0.4,False,MOUSTACHE,Sindhi,9083,10180,"Plains family, not Dardic family",10180
entry,Score ≥0.4,False,MOUSTACHE,Lahnda,9083,10180,"Plains family, not Dardic family",10180
entry,Score ≥0.4,False,MOUSTACHE,Either language,9083,10180,"Plains family, not Dardic family",10180
entry,Score ≥0.4,False,UNRIPE,Sindhi,1236,2613,Other resolved families only,413
entry,Score ≥0.4,False,UNRIPE,Lahnda,1236,2613,"Plains family, not Dardic family",2613
entry,Score ≥0.4,False,UNRIPE,Either language,1236,2613,"Plains family, not Dardic family",2613;413
entry,Score ≥0.4,False,SAND,Sindhi,13386,11580,No attestation,
entry,Score ≥0.4,False,SAND,Lahnda,13386,11580,Other resolved families only,10816
entry,Score ≥0.4,False,SAND,Either language,13386,11580,Other resolved families only,10816
entry,Score ≥0.4,False,OWN,Sindhi,5766,1135,No attestation,
entry,Score ≥0.4,False,OWN,Lahnda,5766,1135,"Plains family, not Dardic family",1135
entry,Score ≥0.4,False,OWN,Either language,5766,1135,"Plains family, not Dardic family",1135
entry,Score ≥0.4,False,RAW,Sindhi,1236,2613,"Plains family, not Dardic family",2613
entry,Score ≥0.4,False,RAW,Lahnda,1236,2613,No attestation,
entry,Score ≥0.4,False,RAW,Either language,1236,2613,"Plains family, not Dardic family",2613
